"Title","USRelease","Genre","Rating","Rating1","Production.Method","Sequel","Budget","Opening","Theaters","USRevenue","IntRevenue","WorldRevenue","Profit","LOpening"
"Core, The","3/28/2003","Adventure","PG-13",1,"Live Action",0,85,12.053131,3017,31.11126,43.021371,74.132631,0,2.48932446
"X2","5/2/2003","Action","PG-13",1,"Live Action",1,125,85.558731,3741,214.949694,191.450819,406.400513,1,4.449203052
"Matrix Reloaded, The","5/15/2003","Action","R",1,"Animation/Live Action",1,127,91.774413,3603,281.553689,457.02324,738.576929,1,4.519333533
"Hollywood Homicide","6/13/2003","Action","PG-13",1,"Live Action",0,75,11.112632,2840,30.207785,20.9,51.107785,0,2.408082479
"Terminator 3: Rise of the Machines","7/1/2003","Action","R",1,"Animation/Live Action",1,170,44.04144,3504,150.358296,282.7,433.058296,0,3.785131009
"League of Extraordinary Gentlemen, The","7/11/2003","Adventure","PG-13",1,"Live Action",0,78,23.075892,3002,66.4626,112.8,179.2626,0,3.138788436
"Rundown, The","9/26/2003","Action","PG-13",1,"Live Action",0,85,18.533765,3152,47.641743,33.19015,80.831893,0,2.919594204
"Looney Tunes: Back in Action","11/14/2003","Comedy","PG",0,"Live Action",0,80,9.317371,2903,20.95082,33.589842,54.540662,0,2.231880507
"Cat in the Hat, The","11/21/2003","Comedy","PG",0,"Live Action",0,109,38.32916,3464,101.018283,32.8,133.818283,0,3.646210964
"Lord of the Rings: The Return of the King","12/17/2003","Adventure","PG-13",1,"Animation/Live Action",1,94,72.629713,3703,377.027325,756,1133.027325,1,4.285374108
"Mona Lisa Smile","12/19/2003","Drama","PG-13",1,"Live Action",0,65,11.528498,2677,63.8031,57.795209,121.598309,0,2.444822057
"Cold Mountain","12/25/2003","Drama","R",1,"Live Action",0,80,14.574213,2163,95.632614,66,161.632614,1,2.679253734
"Stepford Wives, The (2004)","6/11/2004","Comedy","PG-13",1,"Live Action",0,100,21.406781,3057,59.475623,36.746348,96.221971,0,3.063707741
"Catwoman","7/23/2004","Action","PG-13",1,"Live Action",0,100,16.728411,3117,40.19871,33.689193,73.887903,0,2.817108531
