"Date","Butter"
"1/6/2007",2400.468
"1/13/2007",3511.682
"1/20/2007",2896.821
"1/27/2007",3910.398
"2/3/2007",4206.658
"2/10/2007",3990.104
"2/17/2007",4941.521
"2/24/2007",4360.798
"3/3/2007",4025.381
"3/10/2007",3585.84
"3/17/2007",3623.225
"3/24/2007",3938.312
"3/31/2007",3369.79
"4/7/2007",2412.841
"4/14/2007",2299.743
"4/21/2007",2772.579
"4/28/2007",3210.013
"5/5/2007",3005.71
"5/12/2007",2622.091
"5/19/2007",2617.189
"5/26/2007",3096.66
"6/2/2007",3023.247
"6/9/2007",2695.987
"6/16/2007",2582.385
"6/23/2007",3526.665
"6/30/2007",2867.403
"7/7/2007",2501.263
"7/14/2007",6799.284
"7/21/2007",1971.837
"7/28/2007",3302.661
"8/4/2007",2052.139
"8/11/2007",2616.489
"8/18/2007",2396.798
"8/25/2007",3282.52
"9/1/2007",2593.056
"9/8/2007",2887.682
"9/15/2007",3701.932
"9/22/2007",3659.883
"9/29/2007",3632.852
"10/6/2007",5375.506
"10/13/2007",4863.839
"10/20/2007",6453.733
"10/27/2007",5343.876
"11/3/2007",5356.427
"11/10/2007",7632.121
"11/17/2007",3777.309
"11/24/2007",2873.786
"12/1/2007",4262.323
"12/8/2007",5354.949
"12/15/2007",4270.974
"12/22/2007",3336.868
"12/29/2007",2909.821
"1/5/2008",4551.284
"1/12/2008",5549.124
"1/19/2008",5852.553
"1/26/2008",5626.234
"2/2/2008",5128.574
"2/9/2008",4000.321
"2/16/2008",2901.297
"2/23/2008",2571.671
"3/1/2008",4383.577
"3/8/2008",2862.476
"3/15/2008",3657.977
"3/22/2008",4018.763
"3/29/2008",4183.812
"4/5/2008",3196.375
"4/12/2008",3166.595
"4/19/2008",5682.064
"4/26/2008",2888.923
"5/3/2008",3793.298
"5/10/2008",5126.317
"5/17/2008",4339.586
"5/24/2008",2765.694
"5/31/2008",2660.899
"6/7/2008",2782.216
"6/14/2008",4979.734
"6/21/2008",3035.369
"6/28/2008",3467.506
"7/5/2008",4000.422
"7/12/2008",2425.188
"7/19/2008",3503.182
"7/26/2008",4183.219
"8/2/2008",4225.895
"8/9/2008",4515.918
"8/16/2008",2705.683
"8/23/2008",2033.818
"8/30/2008",7050.941
"9/6/2008",2591.383
"9/13/2008",4668.557
"9/20/2008",4165.393
"9/27/2008",3695.264
"10/4/2008",4288.319
"10/11/2008",2609.238
"10/18/2008",3642.963
"10/25/2008",3186.005
"11/1/2008",3384.54
"11/8/2008",3282.914
"11/15/2008",3355.312
"11/22/2008",3030.315
"11/29/2008",2331.9
"12/6/2008",2834.177
"12/13/2008",2835.907
