"Company","Group","Ratio"
1,"h",1.5
2,"h",0.1
3,"h",1.76
4,"h",1.14
5,"h",1.84
6,"h",2.21
7,"h",2.08
8,"h",1.43
9,"h",0.68
10,"h",3.15
11,"h",1.24
12,"h",2.03
13,"h",2.23
14,"h",2.5
15,"h",2.02
16,"h",1.44
17,"h",1.39
18,"h",1.64
19,"h",0.89
20,"h",0.23
21,"h",1.2
22,"h",2.16
23,"h",1.8
24,"h",1.87
25,"h",1.91
26,"h",1.67
27,"h",1.87
28,"h",1.21
29,"h",2.05
30,"h",1.06
31,"h",0.93
32,"h",2.17
33,"h",2.61
34,"h",3.05
35,"h",1.52
36,"h",1.93
37,"h",1.95
38,"h",2.61
39,"h",1.11
40,"h",0.95
41,"h",0.96
42,"h",2.25
43,"h",2.73
44,"h",1.56
45,"h",2.73
46,"h",0.9
47,"h",2.12
48,"h",1.42
49,"h",1.62
50,"h",1.76
51,"h",2.22
52,"h",2.8
53,"h",1.85
54,"h",0.96
55,"h",1.71
56,"h",1.02
57,"h",2.5
58,"h",1.55
59,"h",1.69
60,"h",1.64
61,"h",1.03
62,"h",1.8
63,"h",0.67
64,"h",2.44
65,"h",2.3
66,"h",2.21
67,"h",1.96
68,"h",1.81
69,"f",0.82
70,"f",0.89
71,"f",1.31
72,"f",0.05
73,"f",0.83
74,"f",0.9
75,"f",1.68
76,"f",0.99
77,"f",0.62
78,"f",0.91
79,"f",0.52
80,"f",1.45
81,"f",1.16
82,"f",1.32
83,"f",1.17
84,"f",0.42
85,"f",0.48
86,"f",0.93
87,"f",0.88
88,"f",1.1
89,"f",0.23
90,"f",1.11
91,"f",0.19
92,"f",0.13
93,"f",2.03
94,"f",0.51
95,"f",1.12
96,"f",0.92
97,"f",0.26
98,"f",1.15
99,"f",0.13
100,"f",0.88
101,"f",0.09
