"Time","Distance","Hand"
115,190.7,"R"
96,138.52,"R"
110,165.08,"R"
100,126.19,"R"
111,163.19,"R"
101,305.66,"R"
111,176.15,"R"
106,162.78,"R"
96,147.87,"R"
96,271.46,"R"
95,40.25,"R"
96,24.76,"R"
96,104.8,"R"
106,136.8,"R"
100,308.6,"R"
113,279.8,"R"
123,125.51,"R"
111,329.8,"R"
95,51.66,"R"
108,201.95,"R"
240,190.7,"L"
190,138.52,"L"
170,165.08,"L"
125,126.19,"L"
315,163.19,"L"
240,305.66,"L"
141,176.15,"L"
210,162.78,"L"
200,147.87,"L"
401,271.46,"L"
320,40.25,"L"
113,24.76,"L"
176,104.8,"L"
211,136.8,"L"
238,308.6,"L"
316,279.8,"L"
176,125.51,"L"
173,329.8,"L"
210,51.66,"L"
170,201.95,"L"
