"Date","DJ"
"1/3/2000",10940.53
"2/1/2000",10128.31
"3/1/2000",10921.92
"4/3/2000",10733.91
"5/1/2000",10522.33
"6/1/2000",10447.89
"7/3/2000",10521.98
"8/1/2000",11215.1
"9/1/2000",10650.92
"10/2/2000",10971.14
"11/1/2000",10414.49
"12/1/2000",10787.99
"1/2/2001",10887.36
"2/1/2001",10495.28
"3/1/2001",9878.78
"4/2/2001",10734.97
"5/1/2001",10911.94
"6/1/2001",10502.4
"7/2/2001",10522.81
"8/1/2001",9949.75
"9/4/2001",8847.56
"10/1/2001",9075.14
"11/1/2001",9851.56
"12/3/2001",10021.57
"1/2/2002",9920
"2/1/2002",10106.13
"3/1/2002",10403.94
"4/1/2002",9946.22
"5/1/2002",9925.25
"6/3/2002",9243.26
"7/1/2002",8736.59
"8/1/2002",8663.5
"9/3/2002",7591.93
"10/1/2002",8397.03
"11/1/2002",8896.09
"12/2/2002",8341.63
"1/2/2003",8053.81
"2/3/2003",7891.08
"3/3/2003",7992.13
"4/1/2003",8480.09
"5/1/2003",8850.26
"6/2/2003",8985.44
"7/1/2003",9233.8
"8/1/2003",9415.82
"9/2/2003",9275.06
"10/1/2003",9801.12
"11/3/2003",9782.46
"12/1/2003",10453.92
"1/2/2004",10488.07
"2/2/2004",10583.92
"3/1/2004",10357.7
"4/1/2004",10225.57
"5/3/2004",10188.45
"6/1/2004",10435.48
"7/1/2004",10139.71
"8/2/2004",10173.92
"9/1/2004",10080.27
"10/1/2004",10027.47
"11/1/2004",10428.02
"12/1/2004",10783.01
"1/3/2005",10489.94
"2/1/2005",10766.23
"3/1/2005",10503.76
"4/1/2005",10192.51
"5/2/2005",10467.48
"6/1/2005",10274.97
"7/1/2005",10640.91
"8/1/2005",10481.6
"9/1/2005",10568.7
"10/3/2005",10440.07
"11/1/2005",10805.87
"12/1/2005",10717.5
"1/3/2006",10864.86
"2/1/2006",10993.41
"3/1/2006",11109.32
"4/3/2006",11367.14
"5/1/2006",11168.31
"6/1/2006",11150.22
"7/3/2006",11185.68
"8/1/2006",11381.15
"9/1/2006",11679.07
"10/2/2006",12080.73
"11/1/2006",12221.93
"12/1/2006",12463.15
"1/3/2007",12621.69
"2/1/2007",12268.63
"3/1/2007",12354.35
"4/2/2007",13062.91
"5/1/2007",13627.64
"6/1/2007",13408.62
"7/2/2007",13211.99
"8/1/2007",13357.74
"9/4/2007",13895.63
"10/1/2007",13930.01
"11/1/2007",13371.72
"12/3/2007",13264.82
"1/2/2008",12650.36
"2/1/2008",12266.39
"3/3/2008",12262.89
"4/1/2008",12820.13
"5/1/2008",12638.32
"6/2/2008",11350.01
"7/1/2008",11378.02
"8/1/2008",11543.55
"9/2/2008",10850.66
"10/1/2008",9336.93
"11/3/2008",8829.04
"12/1/2008",8515.55
