"FieldOfStudy","Country","Students"
"SocBusLaw","Canada",64
"SocBusLaw","France",153
"SocBusLaw","Germany",66
"SocBusLaw","Italy",125
"SocBusLaw","Japan",259
"SocBusLaw","UK",152
"SocBusLaw","US",878
"SciMathEng","Canada",35
"SciMathEng","France",111
"SciMathEng","Germany",66
"SciMathEng","Italy",80
"SciMathEng","Japan",136
"SciMathEng","UK",128
"SciMathEng","US",355
"ArtsHum","Canada",27
"ArtsHum","France",74
"ArtsHum","Germany",33
"ArtsHum","Italy",42
"ArtsHum","Japan",123
"ArtsHum","UK",105
"ArtsHum","US",397
"Educ","Canada",20
"Educ","France",45
"Educ","Germany",18
"Educ","Italy",16
"Educ","Japan",39
"Educ","UK",14
"Educ","US",167
"Other","Canada",30
"Other","France",289
"Other","Germany",35
"Other","Italy",58
"Other","Japan",97
"Other","UK",76
"Other","US",272
