"Subject","Promotions","Discount","Price"
11,1,30,3.57
12,1,30,3.77
13,1,30,3.9
14,1,30,4.49
15,1,30,4
16,1,30,4.66
17,1,30,4.48
18,1,30,4.64
19,1,30,4.31
20,1,30,4.43
31,1,10,5.19
32,1,10,4.88
33,1,10,4.78
34,1,10,4.89
35,1,10,4.69
36,1,10,4.96
37,1,10,5
38,1,10,4.93
39,1,10,5.1
40,1,10,4.78
91,5,30,3.9
92,5,30,3.77
93,5,30,3.86
94,5,30,4.1
95,5,30,4.1
96,5,30,3.81
97,5,30,3.97
98,5,30,3.67
99,5,30,4.05
100,5,30,3.67
111,5,10,4.31
112,5,10,4.36
113,5,10,4.75
114,5,10,4.62
115,5,10,3.74
116,5,10,4.34
117,5,10,4.52
118,5,10,4.37
119,5,10,4.4
120,5,10,4.52
