"Date","Volume"
"1/2/2008",16560700
"1/3/2008",14635500
"1/4/2008",19772000
"1/7/2008",20682400
"1/8/2008",15488100
"1/9/2008",25468800
"1/10/2008",16098800
"1/11/2008",17627000
"1/14/2008",15513500
"1/15/2008",20304900
"1/16/2008",27356000
"1/17/2008",20633800
"1/18/2008",25818700
"1/22/2008",45150200
"1/23/2008",41347200
"1/24/2008",26773500
"1/25/2008",22483600
"1/28/2008",17078900
"1/29/2008",19525200
"1/30/2008",21216400
"1/31/2008",33237000
"2/1/2008",17198800
"2/4/2008",16497000
"2/5/2008",21585200
"2/6/2008",23844900
"2/7/2008",20958600
"2/8/2008",15908100
"2/11/2008",13946700
"2/12/2008",17804800
"2/13/2008",12399300
"2/14/2008",16340000
"2/15/2008",15780200
"2/19/2008",15004300
"2/20/2008",13649500
"2/21/2008",13051000
"2/22/2008",13601200
"2/25/2008",20911400
"2/26/2008",30638500
"2/27/2008",17330300
"2/28/2008",18085800
"2/29/2008",21898800
"3/3/2008",19162200
"3/4/2008",15672300
"3/5/2008",18340500
"3/6/2008",14345600
"3/7/2008",15410100
"3/10/2008",17188800
"3/11/2008",22119800
"3/12/2008",20008900
"3/13/2008",20243000
"3/14/2008",21473500
"3/17/2008",21915500
"3/18/2008",21428500
"3/19/2008",23266600
"3/20/2008",22243000
"3/24/2008",25245600
"3/25/2008",18463700
"3/26/2008",14793500
"3/27/2008",13212700
"3/28/2008",15818700
"3/31/2008",15593400
"4/1/2008",20263800
"4/2/2008",16090000
"4/3/2008",11648300
"4/4/2008",13520500
"4/7/2008",10883600
"4/8/2008",11547400
"4/9/2008",13431800
"4/10/2008",19890600
"4/11/2008",12688100
"4/14/2008",8104500
"4/15/2008",9872000
"4/16/2008",12137900
"4/17/2008",9241200
"4/18/2008",12670000
"4/21/2008",16470500
"4/22/2008",20109900
"4/23/2008",15925000
"4/24/2008",21726200
"4/25/2008",19656600
"4/28/2008",13374300
"4/29/2008",10969000
"4/30/2008",15221000
"5/1/2008",26628800
"5/2/2008",19294300
"5/5/2008",15897800
"5/6/2008",14309000
"5/7/2008",14745400
"5/8/2008",19465900
"5/9/2008",13031400
"5/12/2008",12314100
"5/13/2008",10391900
"5/14/2008",12094200
"5/15/2008",11044900
"5/16/2008",13246300
"5/19/2008",13893700
"5/20/2008",39809400
"5/21/2008",29274700
"5/22/2008",15894100
"5/23/2008",17324800
"5/27/2008",21412600
"5/28/2008",13242200
"5/29/2008",13855400
"5/30/2008",11714900
"6/2/2008",15497700
"6/3/2008",15232800
"6/4/2008",17537800
"6/5/2008",20265500
"6/6/2008",19366500
"6/9/2008",17695600
"6/10/2008",17878700
"6/11/2008",19163100
"6/12/2008",15099500
"6/13/2008",16052200
"6/16/2008",12418600
"6/17/2008",12272500
"6/18/2008",13989600
"6/19/2008",16005900
"6/20/2008",17186900
"6/23/2008",22900000
"6/24/2008",18579100
"6/25/2008",19925800
"6/26/2008",18896500
"6/27/2008",22343700
"6/30/2008",19582700
"7/1/2008",21993700
"7/2/2008",22753400
"7/3/2008",11321500
"7/7/2008",20770400
"7/8/2008",17205000
"7/9/2008",13390800
"7/10/2008",18560300
"7/11/2008",27126500
"7/14/2008",12911800
"7/15/2008",20546400
"7/16/2008",19572400
"7/17/2008",22340200
"7/18/2008",15882800
"7/21/2008",13685300
"7/22/2008",17808300
"7/23/2008",26441300
"7/24/2008",16362800
"7/25/2008",14512500
"7/28/2008",11420200
"7/29/2008",15479200
"7/30/2008",19262100
"7/31/2008",18557500
"8/1/2008",11920700
"8/4/2008",10556200
"8/5/2008",14371000
"8/6/2008",15075400
"8/7/2008",13603900
"8/8/2008",25506600
"8/11/2008",53932100
"8/12/2008",27222900
"8/13/2008",21870300
"8/14/2008",17365400
"8/15/2008",23269100
"8/18/2008",22175300
