"ID","Price","SqFt","BedRooms","Baths","Garage"
1,52900,932,1,1,0
2,62900,760,2,1,0
3,64900,900,2,1,0
4,69900,1504,3,1,0
5,76900,1030,3,2,0
6,87900,1092,3,1,0
7,94900,1288,4,2,0
8,52000,1370,3,1,1
9,72500,698,2,1,1
10,72900,766,2,1,1
11,73900,777,2,1,1
12,73900,912,2,1,1
13,81500,925,3,1,1
14,82900,941,2,1,1
15,84900,1108,3,1.5,1
16,84900,1040,2,1,1
17,89900,1300,3,2,1
18,92800,1026,3,1,1
19,94900,1560,3,1,1
20,114900,1581,3,1.5,1
21,119900,1576,3,2.5,1
22,65000,853,3,1,2
23,75000,2188,4,1.5,2
24,76900,1400,3,1.5,2
25,81900,796,2,1,2
26,84500,864,2,1,2
27,84900,1350,3,1,2
28,89600,1504,3,1,2
29,87000,1200,2,1,2
30,89000,876,2,1,2
31,89000,1112,3,2,2
32,93900,1230,3,1.5,2
33,96000,1350,3,1.5,2
34,99900,1292,3,2,2
35,104900,1600,3,1.5,2
36,114900,1630,3,1.5,2
37,124900,1620,3,2.5,2
38,124900,1923,3,3,2
39,129000,2090,3,1.5,2
40,173900,1608,2,2,2
41,179900,2250,5,2.5,2
42,199500,1855,2,2,2
43,80000,1600,3,1,3
44,129000,2296,3,2.5,3
