"Obs","Price","SqFt","BedRooms","Baths","Garage","Zip"
1,52900,932,1,1,0,4
2,61500,780,3,1,0,5
3,62000,1500,3,1,0,9
4,62900,760,2,1,0,4
5,64900,900,2,1,0,4
6,64900,1206,3,1,0,9
7,65000,925,3,1,0,9
8,65000,925,3,1,0,9
9,67900,672,2,1,0,9
10,68900,760,2,1,0,9
11,69500,750,2,1,0,9
12,69900,1504,3,1,0,4
13,69900,902,3,1,0,9
14,69900,1272,2,1,0,5
15,71000,989,3,1,0,9
16,72500,1073,3,1,0,5
17,72900,1100,2,1,0,5
18,73500,1120,3,1,0,5
19,75000,1216,3,2,0,6
20,76900,1030,3,2,0,4
21,77000,1073,4,1,0,9
22,77500,1056,3,1,0,5
23,77900,864,3,1,0,9
24,78900,864,3,1,0,9
25,79000,1073,3,1,0,9
26,79900,1080,3,1,0,5
27,79900,1288,3,2,0,5
28,79900,1568,3,1,0,5
29,79900,1568,3,1,0,5
30,84900,1107,3,1,0,9
31,87900,1092,3,1,0,4
32,89000,1738,3,1,0,5
33,89900,1384,3,1,0,9
34,89900,1760,3,2,0,5
35,89900,864,3,1,0,5
36,94900,1288,4,2,0,4
37,95000,1646,3,2,0,9
38,129900,1488,3,1,0,5
39,139000,1522,3,2,0,6
40,139900,1762,3,1.5,0,5
41,169900,1568,4,1.5,0,6
42,172000,1762,4,3,0,6
43,184900,2484,3,2.5,0,1
44,52000,1370,3,1,1,4
45,59900,1204,3,1,1,5
46,59900,1316,3,1,1,5
47,69900,1142,2,1.5,1,5
48,72000,945,3,1,1,9
49,72500,698,2,1,1,4
50,72900,766,2,1,1,4
51,73500,980,3,1,1,9
52,73900,777,2,1,1,4
53,73900,912,2,1,1,4
54,78900,896,3,1,1,5
55,79900,900,3,1,1,5
56,79900,1073,3,1,1,9
57,81500,925,3,1,1,4
58,82900,941,2,1,1,4
59,84500,984,3,1,1,9
60,84900,1108,3,1.5,1,4
61,84900,1040,2,1,1,4
62,84900,1144,3,2,1,9
63,84900,1250,3,1.5,1,9
64,86000,1300,4,1.5,1,6
65,86000,1064,3,1.5,1,6
66,87500,1064,3,1.5,1,6
67,87900,925,3,1,1,9
68,88000,980,4,2,1,6
69,88500,978,3,1,1,9
70,89900,975,3,1,1,9
71,89900,1405,3,1,1,5
72,89900,1300,3,2,1,4
73,89900,1125,3,1,1,5
