"Id","Gender","Race","Earnings","Status"
1,"F","Black",14682,"FT"
2,"F","Black",12655,"PT"
3,"F","Black",12641,"FT"
4,"F","Black",14678,"PT"
5,"F","Black",14714,"FT"
6,"F","Black",14748,"PT"
7,"F","Black",14750,"PT"
8,"F","Black",12618,"PT"
9,"F","Black",14758,"PT"
10,"F","Black",14682,"PT"
11,"F","Other",14714,"PT"
12,"F","Black",12608,"PT"
13,"F","Black",14726,"PT"
14,"F","Black",12659,"PT"
15,"F","Black",12683,"PT"
16,"F","Black",14723,"PT"
17,"F","Black",14748,"FT"
18,"F","White",14698,"FT"
19,"F","White",12650,"PT"
20,"F","White",14691,"FT"
21,"F","White",12671,"PT"
22,"F","White",12618,"PT"
23,"F","White",14710,"FT"
24,"F","White",14733,"FT"
25,"F","White",14750,"FT"
26,"F","White",14751,"PT"
27,"M","White",14707,"FT"
28,"F","White",14677,"FT"
29,"F","White",14743,"PT"
30,"F","White",14689,"PT"
31,"F","White",12623,"PT"
32,"F","White",14686,"PT"
33,"F","White",12675,"PT"
34,"F","White",14685,"PT"
35,"F","White",14709,"PT"
36,"F","White",14754,"PT"
37,"F","White",12643,"PT"
38,"F","White",14756,"PT"
39,"F","White",12677,"PT"
40,"F","White",12636,"PT"
41,"F","White",14746,"PT"
42,"F","White",12641,"FT"
43,"M","White",14691,"PT"
44,"M","White",12601,"PT"
45,"F","White",14758,"PT"
46,"F","White",14748,"PT"
47,"F","White",14703,"PT"
48,"F","White",14678,"PT"
49,"F","White",14740,"PT"
50,"F","White",14746,"FT"
51,"F","White",14680,"PT"
52,"F","White",14683,"PT"
53,"F","White",14714,"PT"
54,"F","White",14715,"PT"
55,"F","White",14730,"PT"
56,"F","White",14705,"PT"
57,"F","White",14691,"PT"
58,"F","White",14752,"PT"
59,"F","White",14717,"PT"
60,"F","White",12652,"PT"
61,"M","White",14715,"PT"
62,"F","White",14693,"FT"
63,"F","White",14727,"PT"
64,"F","White",14691,"PT"
65,"F","White",14751,"PT"
66,"F","White",14682,"PT"
67,"F","White",14692,"PT"
68,"F","White",14680,"PT"
69,"F","White",14688,"PT"
70,"M","White",12614,"PT"
71,"F","White",14749,"PT"
72,"F","Other",17866,"FT"
73,"F","Black",17149,"PT"
74,"F","Black",16834,"PT"
75,"F","Black",16390,"FT"
76,"F","Black",17482,"PT"
77,"F","Black",17192,"FT"
78,"F","Black",14742,"FT"
79,"F","Black",17529,"FT"
80,"F","Black",16604,"PT"
81,"F","Black",15341,"FT"
82,"F","Black",17124,"FT"
83,"F","Black",17166,"FT"
84,"F","Black",16849,"PT"
85,"F","Black",15914,"FT"
86,"M","Black",17155,"FT"
87,"F","Black",16863,"PT"
88,"F","Black",15960,"FT"
89,"F","Black",16843,"FT"
90,"F","Black",17350,"PT"
91,"F","Black",16553,"FT"
92,"F","Black",17735,"FT"
93,"F","Black",15017,"FT"
94,"F","Black",15192,"FT"
95,"F","Black",17240,"FT"
96,"F","Other",15919,"FT"
97,"F","Black",17169,"PT"
98,"F","Other",17216,"PT"
99,"F","Black",16466,"PT"
100,"F","Black",16578,"FT"
101,"F","Black",16596,"FT"
102,"F","Black",16555,"FT"
103,"F","Black",16845,"FT"
104,"F","Black",15288,"FT"
105,"F","Black",16074,"FT"
106,"M","Black",16249,"FT"
107,"M","Black",17425,"FT"
108,"F","Black",14695,"PT"
109,"F","Black",16649,"FT"
110,"F","Black",16555,"FT"
111,"M","Black",18408,"FT"
112,"F","Black",16116,"FT"
113,"F","Black",17236,"PT"
114,"F","Black",16885,"FT"
115,"F","Other",18414,"FT"
116,"F","Black",15920,"FT"
117,"F","Black",15939,"FT"
118,"F","Black",17178,"PT"
119,"F","Black",18390,"FT"
120,"F","Black",15936,"FT"
121,"F","Black",17145,"FT"
122,"F","Black",17134,"PT"
123,"F","Black",15953,"FT"
124,"F","Black",17188,"FT"
125,"F","Black",18008,"PT"
126,"F","Black",15925,"PT"
127,"F","Black",15979,"FT"
128,"F","Black",19615,"FT"
129,"M","Black",16880,"PT"
130,"M","Black",17813,"FT"
131,"F","Black",16045,"FT"
132,"F","Black",18405,"FT"
133,"F","Black",15917,"FT"
134,"F","Black",16144,"FT"
135,"F","Black",18983,"FT"
136,"F","Black",15962,"PT"
137,"M","Black",18402,"FT"
138,"F","Black",16096,"FT"
139,"F","Black",17157,"FT"
140,"F","Other",16547,"FT"
141,"M","Black",15935,"FT"
142,"F","Black",17164,"FT"
143,"F","Black",16015,"FT"
144,"M","Black",16564,"FT"
145,"M","Black",15144,"FT"
146,"F","Black",16600,"PT"
147,"F","Black",17130,"FT"
148,"F","Black",17164,"PT"
149,"M","Black",16929,"FT"
150,"F","Black",17128,"FT"
151,"F","Black",17123,"FT"
152,"F","Black",15929,"FT"
153,"M","Black",15938,"FT"
154,"F","Black",16541,"FT"
155,"F","Black",15978,"PT"
156,"F","Black",15899,"FT"
157,"F","Black",18393,"FT"
158,"F","Black",14717,"FT"
159,"F","Black",17157,"FT"
