"Age","Income"
25,37413
25,27200
25,4580
25,79616
25,27100
25,44000
25,22000
25,32200
25,46592
25,47000
25,65000
25,48000
25,36000
25,16640
25,30700
25,34000
25,239839
25,107766
25,31500
25,17000
25,35002
25,16640
25,30000
25,3000
25,18000
25,108686
25,29040
25,28000
25,14000
25,41750
25,42275
25,3480
25,35000
25,40000
25,14715
25,59497
25,32656
25,33100
25,42577
25,27000
25,14000
25,53300
25,38501
25,43650
25,16800
25,20800
25,36020
25,18908
25,46019
25,61274
25,25000
25,38500
25,20412
25,33012
25,48450
25,500
25,39000
25,70000
25,22800
25,7815
25,3602
25,22500
25,13312
25,42900
25,27288
25,46946
25,25013
25,27500
25,41197
25,15700
25,29200
25,32000
25,11384
25,49072
25,35016
25,12502
25,30000
25,11100
25,22732
25,29105
25,39600
25,25000
25,64624
25,27000
25,57766
25,6760
25,35000
25,37283
25,23000
25,10000
25,27050
25,25000
25,45001
25,30700
25,15031
25,31200
25,27000
25,23000
25,21800
25,19259
25,33090
25,18000
25,33000
25,34200
25,18057
25,33500
25,28500
25,28050
25,16101
25,22000
25,5000
25,7214
25,40500
25,35000
25,18210
25,78683
25,30110
25,50397
25,60300
25,52500
25,4700
25,29328
25,100231
25,19000
25,43282
25,15000
25,25000
25,99808
25,120001
25,25000
25,4800
25,48300
25,46020
25,44000
25,76800
25,23100
26,39050
26,71800
26,35100
26,7600
26,42018
26,30000
26,40000
26,9496
26,38002
26,24600
26,5000
26,30350
26,53000
26,38500
26,43700
26,33575
26,30051
26,28000
26,40850
26,30000
26,23700
26,12200
26,30015
26,40000
26,16199
26,34100
26,41600
26,50714
26,8500
26,16045
26,36650
26,51825
26,44150
26,45550
26,9000
26,50244
26,30671
26,45000
26,22000
26,41400
26,30066
26,30000
26,46400
26,35350
26,40288
26,15719
26,18000
26,99400
26,43000
26,7000
26,33100
26,9003
26,30500
26,138000
26,70475
26,60450
26,24458
26,23000
26,34950
26,10000
26,61025
26,100000
26,42100
26,61068
26,15100
26,52000
26,52000
26,10000
26,42000
26,60000
26,50000
26,41055
26,23270
26,27000
26,65000
26,25175
26,37413
26,45110
26,25000
26,52661
26,35050
26,5000
26,50300
26,32060
26,37000
26,24000
26,24000
26,15952
26,50231
26,47000
26,47288
26,14000
26,38500
26,22402
26,9600
26,18650
26,28570
26,12000
26,29000
26,40000
26,52500
26,50000
26,41010
26,19500
26,11000
26,42501
26,21184
26,8007
26,43511
26,28500
26,57000
26,64000
26,60250
26,80173
26,26000
26,16000
26,30795
26,30000
26,45000
26,35100
26,36500
26,11000
26,50777
26,65015
26,13003
26,80000
26,80010
26,19000
26,64000
26,36000
26,22500
26,26160
26,67150
26,16710
26,45600
26,16650
26,244871
26,39001
26,38300
26,81500
26,86000
26,22504
27,17210
27,44058
27,35801
27,47845
27,35007
27,23115
27,35016
27,16031
27,39500
27,38083
27,47000
27,19985
27,20725
27,78750
27,46175
27,40000
27,11394
27,199685
27,13500
27,52700
27,41000
27,40029
27,25820
27,36450
27,79584
27,40072
27,38000
27,54500
27,15000
27,33015
27,32000
27,20210
27,79083
27,35000
27,35010
27,65375
27,34500
27,35000
27,32400
27,38100
27,35060
27,25040
27,87824
27,20677
27,64600
27,12224
27,40000
27,4010
27,63200
27,65100
27,36300
27,82000
27,17170
27,30000
27,35025
27,31147
27,10012
27,3426
27,10012
27,37600
27,83460
27,25075
27,22000
27,20010
27,13980
27,45007
27,15000
27,15000
27,19000
27,27267
27,12000
27,56030
27,25139
27,40150
27,22010
27,5880
27,43035
27,23005
27,20317
27,20000
27,22099
27,36000
27,31220
27,64000
27,25250
27,30000
