"MPG","CarClass"
26,"Convertible"
23,"Convertible"
22,"Convertible"
22,"Convertible"
21,"Convertible"
21,"Convertible"
21,"Convertible"
20,"Convertible"
20,"Convertible"
20,"Convertible"
19,"Convertible"
19,"Convertible"
19,"Convertible"
19,"Convertible"
19,"Convertible"
19,"Convertible"
19,"Convertible"
19,"Convertible"
19,"Convertible"
19,"Convertible"
19,"Convertible"
19,"Convertible"
19,"Convertible"
18,"Convertible"
18,"Convertible"
18,"Convertible"
18,"Convertible"
18,"Convertible"
18,"Convertible"
18,"Convertible"
18,"Convertible"
18,"Convertible"
18,"Convertible"
18,"Convertible"
18,"Convertible"
18,"Convertible"
18,"Convertible"
18,"Convertible"
17,"Convertible"
17,"Convertible"
17,"Convertible"
17,"Convertible"
17,"Convertible"
17,"Convertible"
17,"Convertible"
17,"Convertible"
17,"Convertible"
17,"Convertible"
17,"Convertible"
17,"Convertible"
16,"Convertible"
16,"Convertible"
16,"Convertible"
16,"Convertible"
16,"Convertible"
16,"Convertible"
16,"Convertible"
15,"Convertible"
15,"Convertible"
15,"Convertible"
15,"Convertible"
15,"Convertible"
15,"Convertible"
15,"Convertible"
15,"Convertible"
15,"Convertible"
15,"Convertible"
14,"Convertible"
14,"Convertible"
14,"Convertible"
14,"Convertible"
14,"Convertible"
14,"Convertible"
14,"Convertible"
13,"Convertible"
13,"Convertible"
13,"Convertible"
13,"Convertible"
12,"Convertible"
12,"Convertible"
11,"Convertible"
11,"Convertible"
11,"Convertible"
11,"Convertible"
9,"Convertible"
9,"Convertible"
8,"Convertible"
23,"Coupe"
23,"Coupe"
23,"Coupe"
22,"Coupe"
22,"Coupe"
22,"Coupe"
21,"Coupe"
21,"Coupe"
19,"Coupe"
19,"Coupe"
19,"Coupe"
19,"Coupe"
18,"Coupe"
18,"Coupe"
18,"Coupe"
18,"Coupe"
18,"Coupe"
18,"Coupe"
18,"Coupe"
18,"Coupe"
18,"Coupe"
17,"Coupe"
17,"Coupe"
