"MPG","Car_Class"
30,"Hatchback"
29,"Hatchback"
28,"Hatchback"
27,"Hatchback"
27,"Hatchback"
27,"Hatchback"
27,"Hatchback"
27,"Hatchback"
26,"Hatchback"
25,"Hatchback"
25,"Hatchback"
25,"Hatchback"
24,"Hatchback"
24,"Hatchback"
24,"Hatchback"
24,"Hatchback"
24,"Hatchback"
23,"Hatchback"
23,"Hatchback"
22,"Hatchback"
22,"Hatchback"
21,"Hatchback"
21,"Hatchback"
21,"Hatchback"
21,"Hatchback"
21,"Hatchback"
21,"Hatchback"
21,"Hatchback"
20,"Hatchback"
20,"Hatchback"
20,"Hatchback"
20,"Hatchback"
20,"Hatchback"
20,"Hatchback"
20,"Hatchback"
20,"Hatchback"
19,"Hatchback"
19,"Hatchback"
19,"Hatchback"
18,"Hatchback"
16,"Hatchback"
16,"Hatchback"
19,"Large Sedan"
19,"Large Sedan"
18,"Large Sedan"
18,"Large Sedan"
18,"Large Sedan"
18,"Large Sedan"
17,"Large Sedan"
17,"Large Sedan"
17,"Large Sedan"
17,"Large Sedan"
17,"Large Sedan"
17,"Large Sedan"
17,"Large Sedan"
17,"Large Sedan"
17,"Large Sedan"
17,"Large Sedan"
16,"Large Sedan"
16,"Large Sedan"
16,"Large Sedan"
16,"Large Sedan"
16,"Large Sedan"
16,"Large Sedan"
16,"Large Sedan"
16,"Large Sedan"
15,"Large Sedan"
15,"Large Sedan"
13,"Large Sedan"
13,"Large Sedan"
