"Month","Year","Total.Revenue"
"Jan",2005,280110.1784
"Feb",2005,247094.7417
"Mar",2005,246413.5059
"Apr",2005,309607.3289
"May",2005,248746.7689
"Jun",2005,248883.2222
"Jul",2005,267764.8838
"Aug",2005,222722.7724
"Sep",2005,266667.0205
"Oct",2005,333955.7491
"Nov",2005,283068.987
"Dec",2005,276093.4562
"Jan",2006,289072.2772
"Feb",2006,255675.3127
"Mar",2006,254449.2323
"Apr",2006,309836.7687
"May",2006,258565.9542
"Jun",2006,251233.3787
"Jul",2006,261932.868
"Aug",2006,217222.4143
"Sep",2006,260432.1021
"Oct",2006,324615.516
"Nov",2006,278465.108
"Dec",2006,328403.0538
"Jan",2007,288032.4756
"Feb",2007,246462.7502
"Mar",2007,251525.2194
"Apr",2007,303162.1678
"May",2007,243534.0507
"Jun",2007,242246.8839
"Jul",2007,262322.3642
"Aug",2007,218503.0927
"Sep",2007,273533.5029
"Oct",2007,327720.4287
"Nov",2007,283199.2537
"Dec",2007,254834.3365
"Jan",2008,272331.2941
"Feb",2008,240158.9602
"Mar",2008,235364.128
"Apr",2008,296383.8771
"May",2008,227531.6842
"Jun",2008,217989.4846
"Jul",2008,235917.093
"Aug",2008,199350.3537
"Sep",2008,251775.0323
"Oct",2008,296801.1445
