"Month","Year","Change"
"Feb",2001,-127.645
"Mar",2001,711.8457
"Apr",2001,-999.0084
"May",2001,-501.9943
"Jun",2001,-1397.5517
"Jul",2001,1999.4294
"Aug",2001,239.686
"Sep",2001,-479.8744
"Oct",2001,-48.895
"Nov",2001,287.1448
"Dec",2001,-607.473
"Jan",2002,-860.2676
"Feb",2002,125.4818
"Mar",2002,-206.6959
"Apr",2002,-435.9075
"May",2002,846.1078
"Jun",2002,-196.0928
"Jul",2002,457.8174
"Aug",2002,-204.2346
"Sep",2002,540.3067
"Oct",2002,1427.6905
"Nov",2002,98.5146
"Dec",2002,-2071.902
"Jan",2003,527.2154
"Feb",2003,1746.4443
"Mar",2003,477.4509
"Apr",2003,-1043.2303
"May",2003,176.7565
"Jun",2003,-653.158
"Jul",2003,874.7544
"Aug",2003,552.7904
"Sep",2003,904.4165
"Oct",2003,934.0571
"Nov",2003,173.1366
"Dec",2003,1287.2838
"Jan",2004,-537.8597
"Feb",2004,-2.7822
"Mar",2004,-213.6341
"Apr",2004,-162.4681
"May",2004,-245.3889
"Jun",2004,1986.4366
"Jul",2004,596.5363
"Aug",2004,-957.6501
"Sep",2004,573.1556
"Oct",2004,805.8147
"Nov",2004,-198.8737
"Dec",2004,-551.6672
"Jan",2005,203.5804
"Feb",2005,375.422
"Mar",2005,118.0108
"Apr",2005,376.473
"May",2005,421.0808
"Jun",2005,-481.4327
"Jul",2005,-364.7242
"Aug",2005,288.5797
"Sep",2005,-710.6325
"Oct",2005,-8.4751
"Nov",2005,737.5102
"Dec",2005,-191.9247
"Jan",2006,-116.5541
"Feb",2006,-36.4265
"Mar",2006,-446.5949
"Apr",2006,342.8157
"May",2006,-178.2142
"Jun",2006,-111.6675
"Jul",2006,1343.8232
"Aug",2006,-267.0854
"Sep",2006,-449.3415
"Oct",2006,298.1738
"Nov",2006,-465.5612
"Dec",2006,-362.6408
"Jan",2007,-273.2678
"Feb",2007,201.4985
"Mar",2007,-200.49
"Apr",2007,468.9741
"May",2007,-259.1307
"Jun",2007,14.3168
"Jul",2007,393.5877
"Aug",2007,-717.8593
"Sep",2007,672.1839
"Oct",2007,863.8997
"Nov",2007,-233.222
"Dec",2007,371.5562
"Jan",2008,-262.7837
"Feb",2008,160.5988
"Mar",2008,97.2765
"Apr",2008,-346.7714
"May",2008,868.438
"Jun",2008,-87.3236
"Jul",2008,990.7627
"Aug",2008,-1028.3084
"Sep",2008,-1522.7754
