"specimen","pcb138","pcb153","pcb180","pcb28","pcb52","pcb126","pcb118","pcb","teq","teqpcb","teqdioxin","teqfuran"
1,1.46,1.59,0.738,0.421,0.532,0,0.72,19.9959,0.9384,0.18892,0.60948,0.14
2,0.64,0.92,0.664,0.025,0.03,0,0.236,6.0996,0.96881,0.06837,0.90044,0
3,3.29,3.9,1.15,0.076,0.134,0,1.54,24.9655,0.97992,0.32992,0.62,0.03
4,3.94,5.44,1.33,0.152,0.466,0.0055,1.94,37.4436,0.9985,0.9235,0.005,0.07
5,3.18,3.65,2.14,0.116,0.243,0.0059,1.47,30.183,1.01654,0.92654,0,0.09
6,2.43,2.79,1.3,0.073,0.137,0.0058,1.31,20.8036,1.02794,0.90294,0.05,0.075
7,3.94,4.84,3.49,0.058,0.208,0.0073,0.876,41.3818,1.04571,1.00571,0.03,0.01
8,3.38,3.41,1.04,0.189,0.477,0.0052,2.46,29.478,1.06337,1.04837,0.005,0.01
9,2.21,2.39,0.966,0.275,0.457,0,1.14,24.2387,1.11068,0.28615,0.64353,0.181
10,2.49,3.51,1.59,0.221,0.298,0,1.18,26.3198,1.13301,0.27224,0.65997,0.2008
11,0.86,0.87,0.395,0.091,0.02,0,0.406,8.591,1.16909,0.10819,0.9446,0.1163
12,3.38,3.84,1.85,1.51,0.539,0,1.5,36.4229,1.16942,0.36523,0.68119,0.123
13,7.39,9.18,4.42,0.154,0.707,0,3.55,66.4108,1.18253,0.88631,0.19122,0.105
14,2.74,3.03,0.595,0.392,0.893,0,1.98,30.5757,1.21249,0.35924,0.59325,0.26
15,2.58,3.3,1.78,0.097,0.112,0.0062,1.52,25.4771,1.23549,0.96849,0.174,0.093
16,7.28,6.6,3.49,0.262,1.44,0,4,68.5567,1.23559,0.96859,0.205,0.062
17,2.29,4.21,2.1,0.111,0.124,0,0.981,23.1381,1.26356,0.26471,0.86635,0.1325
18,5.35,7.25,5.37,0.156,0.154,0.0079,0.737,43.0451,1.35751,1.04451,0.214,0.099
19,4.62,5.55,2.69,0.12,0.319,0.0072,1.49,39.53,1.36336,1.09586,0.157,0.1105
20,3.54,3.57,1.14,0.315,0.536,0.0072,1.89,36.5013,1.37083,1.13123,0.099,0.1406
21,1.98,2.08,1.04,0.845,0.718,0,0.889,26.5255,1.38104,0.20506,1.02578,0.1502
22,2.01,2.55,1.04,0.172,0.173,0,1.5,22.137,1.38902,0.30549,1.02103,0.0625
23,2.22,2.62,0.897,0.091,0.228,0.0054,1.07,19.1992,1.47651,0.78992,0.48569,0.2009
24,3.5,3.61,2.33,0.371,0.456,0.0066,1.52,32.9518,1.48975,1.06958,0.35517,0.065
25,0.86,0.86,0.474,0.058,0.152,0,0.393,9.0893,1.51692,0.0997,1.24922,0.168
26,4.92,6.09,3.65,0.159,0.181,0.009,1.79,42.0037,1.56344,1.39494,0.076,0.0925
27,2.76,2.89,0.868,2.46,1.78,0,2.14,48.7727,1.66115,0.44493,0.94849,0.2677
28,5.18,7.08,3.61,0.184,0.843,0.0071,2.39,55.894,1.66381,1.21581,0.335,0.113
29,2.6,2.37,1.24,0.431,0.482,0.0083,1.6,31.8021,1.70648,1.20843,0.22005,0.278
30,4.95,7.15,2.74,0.294,1.29,0.0071,2.35,60.1485,1.74258,1.22208,0.222,0.2985
31,10.8,12.2,8.82,0.18,0.067,0.0074,3.55,97.2793,1.7909,1.60686,0.05604,0.128
32,2.02,1.82,1.39,0.304,0.311,0.0075,1.31,18.3945,1.90679,1.04561,0.70768,0.1535
33,3.24,1.79,2.6,0.085,0.117,0.0069,1.74,27.5003,1.93328,1.15728,0.455,0.321
