"State","Percent"
"Alabama",13.5
"Alaska",7
"Arizona",12.9
"Arkansas",14
"California",11
"Colorado",10.1
"Connecticut",13.5
"Delaware",13.6
"District of Columbia",11.9
"Florida",17
"Georgia",9.9
"Hawaii",14.3
"Idaho",11.7
"Illinois",12.1
"Indiana",12.5
"Iowa",14.7
"Kansas",13
"Kentucky",13
"Louisiana",12.2
"Maine",14.8
"Maryland",11.8
"Massachusetts",13.3
"Michigan",12.7
"Minnesota",12.2
"Mississippi",12.5
"Missouri",13.4
"Montana",13.9
"Nebraska",13.3
"Nevada",11.1
"New Hampshire",12.6
"New Jersey",13.1
"New Mexico",12.7
"New York",13.2
"North Carolina",12.2
"North Dakota",14.6
"Ohio",13.5
"Oklahoma",13.3
"Oregon",13
"Pennsylvania",15.2
"Rhode Island",13.9
"South Carolina",13
"South Dakota",14.3
"Tennessee",12.9
"Texas",10
"Utah",8.8
"Vermont",13.6
"Virginia",11.8
"Washington",11.7
"West Virginia",15.5
"Wisconsin",13.1
"Wyoming",12.2
"Puerto Rico",13.3
