"Year","Precip"
1895,36.01
1896,41.21
1897,49.23
1898,50.1
1899,44.84
1900,42.25
1901,49.67
1902,54.73
1903,55.08
1904,42.26
1905,40.7
1906,45.16
1907,49.79
1908,40.91
1909,39.77
1910,38.21
1911,48.68
1912,44.3
1913,45.08
1914,38.03
1915,45.54
1916,36.5
1917,39.85
1918,35.84
1919,50.32
1920,49.47
1921,36.78
1922,39.79
1923,39.04
1924,42.78
1925,40.41
1926,42.94
1927,47.95
1928,44.84
1929,41.69
1930,33.98
1931,36.68
1932,45.93
1933,49.33
1934,44.9
1935,43.91
1936,46.96
1937,47.16
1938,52.31
1939,43.45
1940,48.24
1941,37.13
1942,49.37
1943,38.6
1944,46.96
1945,52.12
1946,39.17
1947,45.36
1948,52.95
1949,39.73
1950,43.87
1951,48.74
1952,54.5
1953,48.55
1954,41.34
1955,40.99
1956,47.78
1957,35.91
1958,54.06
1959,44.22
1960,46.11
1961,45.53
1962,43.21
1963,35.15
1964,36.63
1965,29.36
1966,40.76
1967,45.88
1968,39.73
1969,46.89
1970,39.78
1971,51.44
1972,57.56
1973,51.5
1974,44.13
1975,58.85
1976,38.84
1977,48.46
1978,48.18
1979,56.6
1980,38.3
1981,39.1
1982,39.76
1983,58.33
1984,49.69
1985,39.56
1986,45.84
1987,45.38
1988,40.53
1989,55.56
1990,49.07
1991,43.15
1992,42.11
1993,45.36
1994,48.07
1995,40.81
1996,59.98
1997,43.9
1998,42.43
1999,48.01
2000,45.4
2001,35.65
2002,46.62
2003,57.76
2004,48.22
2005,49.21
2006,52.08
2007,48.29
