"InvoiceDate","PaymentTerms","Amount","ItemCount"
"1/17/2005","Refund",-10,1
"1/21/2005","Refund",-5,1
"1/21/2005","Refund",-5,1
"1/21/2005","Refund",-5,1
"1/21/2005","Refund",-10,1
"1/25/2005","Refund",-5,1
"1/25/2005","Refund",-5,1
"1/26/2005","Refund",-4.25,1
"1/27/2005","Refund",-3,1
"2/10/2005","Refund",-5,1
"2/16/2005","Refund",-7,1
"2/17/2005","Refund",-6.5,2
"2/17/2005","Refund",-6.5,1
"2/25/2005","Refund",-15,1
"2/26/2005","Refund",-4,1
"2/28/2005","Refund",-8.5,1
"3/4/2005","Refund",-5.5,1
"3/9/2005","Refund",-46.85,8
"3/18/2005","Refund",-78,14
"3/18/2005","Refund",-5.5,1
"3/26/2005","Refund",-5,1
"3/28/2005","Refund",-6.5,1
"3/30/2005","Refund",-5,1
"4/2/2005","Refund",-26.38,3
"4/4/2005","Refund",-7.5,1
"4/4/2005","Refund",-17.5,4
"4/5/2005","Refund",-9,2
"4/6/2005","Refund",-5,1
"4/7/2005","Refund",-4.5,1
"4/7/2005","Refund",-8.5,1
"4/9/2005","Refund",-18.88,2
"4/12/2005","Refund",-6.75,1
"4/13/2005","Refund",-12.02,2
"4/18/2005","Refund",-75,1
"4/20/2005","Refund",-5,1
"4/26/2005","Refund",-10,1
"4/27/2005","Refund",-7,1
"4/28/2005","Refund",-35,1
"5/6/2005","Refund",-9,1
"5/16/2005","Refund",-4.5,1
"5/19/2005","Refund",-4,1
"5/20/2005","Refund",-31.45,3
"5/24/2005","Refund",-4.5,1
"6/4/2005","Refund",-16,4
"6/13/2005","Refund",-3,1
"6/15/2005","Refund",-8,1
"6/16/2005","Refund",-16.5,3
"6/20/2005","Refund",-6,1
"6/27/2005","Refund",-5,1
"6/27/2005","Refund",-5,1
"6/28/2005","Refund",-6.75,1
"7/8/2005","Refund",-5.95,1
"7/18/2005","Refund",-5.5,1
"8/5/2005","Refund",-3.75,1
"8/11/2005","Refund",-6.75,1
"8/18/2005","Refund",-5.5,1
"8/24/2005","Refund",-16,1
"8/25/2005","Refund",-10,1
"8/29/2005","Refund",-1.75,1
"9/1/2005","Refund",-3,1
"9/3/2005","Refund",-14,1
"9/6/2005","Refund",-18.5,1
"9/7/2005","Refund",-18.5,1
"9/7/2005","Refund",-5.5,1
"9/7/2005","Refund",-6.5,1
"9/8/2005","Refund",-3,1
"9/13/2005","Refund",-10,1
"9/13/2005","Refund",-4.25,1
"9/15/2005","Refund",-5.5,1
"9/19/2005","Refund",-6.5,1
"9/26/2005","Refund",-3,1
"10/3/2005","Refund",-5.5,1
"10/3/2005","Refund",-3,1
"10/12/2005","Refund",-4,1
"10/12/2005","Refund",-6,1
"10/13/2005","Refund",-4,2
"10/21/2005","Refund",-4.12,1
"10/21/2005","Refund",-5,1
"10/22/2005","Refund",-2,1
"10/25/2005","Refund",-8,1
"10/28/2005","Refund",-5.5,1
"10/28/2005","Refund",-1.5,1
"11/2/2005","Refund",-18,1
"11/5/2005","Refund",-13,2
"11/8/2005","Refund",-10,1
"11/14/2005","Refund",-6,2
"11/17/2005","Refund",-45.45,5
"11/18/2005","Refund",-1.7,1
"11/18/2005","Refund",-2,1
"11/18/2005","Refund",-13,1
"11/19/2005","Refund",-10.82,2
"11/21/2005","Refund",-2,1
"11/22/2005","Refund",-10,1
"11/30/2005","Refund",-23.8,2
"12/2/2005","Refund",-4.8,2
"12/2/2005","Refund",-2.5,1
"12/7/2005","Refund",-7.5,1
"12/9/2005","Refund",-7.5,1
"12/12/2005","Refund",-15,1
"12/15/2005","Refund",-16.75,3
"12/16/2005","Refund",-10.95,2
"12/20/2005","Refund",-2.5,1
"12/22/2005","Refund",-5,1
