"Date","Gross.Sales","Items","Gross.Cash","Cash.Items","Gross.Check","Check.Items","Gross.Credit.Card","Credit.Cards.Items"
"4/1/2000",890.5,115,348.2,55,394.3,56,148,4
"4/3/2000",197,17,42,8,44.5,3,110.5,6
"4/4/2000",231,26,61,9,108.5,10,61.5,7
"4/5/2000",170,21,94,16,76,5,0,0
"4/6/2000",202.5,30,59.5,11,104,14,39,5
"4/7/2000",225.5,35,164.5,26,54,8,7,1
"4/8/2000",489.7,84,125.7,27,220.6,31,143.4,26
"4/10/2000",234.8,42,110.8,19,97.5,18,26.5,5
"4/11/2000",161.5,21,26,5,122,14,13.5,2
"4/12/2000",284,44,109,18,104,14,71,12
"4/13/2000",422,65,180,27,126,17,116,21
"4/14/2000",300.7,59,211.8,36,39.4,14,49.5,9
"4/15/2000",412.4,69,57.5,10,341.9,57,13,2
"4/17/2000",346.8,59,115,20,126.8,23,105,16
"4/18/2000",92.3,19,15.3,8,58,8,19,3
"4/19/2000",255.8,42,97.3,15,114.5,13,44,14
"4/20/2000",118.5,16,61,10,57.5,6,0,0
"4/21/2000",286.5,39,84.5,15,178,21,24,3
"4/22/2000",594,72,156.5,24,293.5,38,144,10
"4/24/2000",263.29,43,87.56,15,113.18,17,62.55,11
"4/25/2000",244.08,45,96.34,19,147.74,26,0,0
"4/26/2000",394.28,64,201.53,33,178.95,28,13.8,3
"4/27/2000",241.31,36,107.92,23,133.39,13,0,0
"4/28/2000",299.97,40,158.19,21,118.03,15,23.75,4
"4/29/2000",649.04,103,176.04,43,220.4,32,252.6,28
