"Plant","SeedSize","SeedCount..1lb.bucket."
1746,"AF",1790
1746,"AR",1740
1746,"AR",1751
1746,"AR",1671
1746,"AR2",1479
1746,"AF",1819
1746,"AR",1706
1746,"AR",1731
1746,"AF",1872
1746,"AR",1710
1746,"AR2",1462
1746,"AF2",1569
1746,"AF",1897
1746,"AR",1757
1746,"AF",1839
1746,"AR2",1373
1746,"AF",1836
1746,"AR",1728
1746,"AR2",1377
1746,"AR2",1378
1746,"AF2",1569
1746,"AR",1835
1746,"AF2",1551
1746,"AR2",1441
1746,"AF2",1526
1746,"AF2",1490
1746,"AR2",1488
1746,"AR2",1501
1746,"AR2",1917
1746,"AR2",1504
1746,"AF2",1681
1746,"AR2",1506
1746,"AF2",1702
1746,"AR2",1459
1746,"AR2",1501
1746,"AR2",1508
1746,"AF2",1696
1746,"AR2",1494
1746,"AR",1914
1746,"AR",1900
1746,"AF2",1678
1746,"AR2",1509
1746,"AR",1949
1746,"AR2",1446
1746,"AR2",1494
1746,"AF2",1692
1746,"AR2",1439
1746,"AF2",1607
1746,"AR2",1438
1746,"AR",1801
1748,"AR2",1644
1748,"AR",2136
1748,"P26",1420
1748,"AF2",1890
1748,"AR",2160
1748,"AF2",1870
1748,"AF2",1884
1748,"AR",1650
1748,"AR",2169
1748,"AR2",1635
1748,"AF2",1870
1748,"AF2",1877
1748,"AR",2168
1748,"P26",1453
1748,"AF2",1886
1748,"AF2",1890
1748,"AR",2132
1748,"AR",2150
1748,"AF2",1874
