"Date","Price.Change"
"4/6/2009",NA
"4/13/2009",13.04
"4/20/2009",-3.37
"4/27/2009",11.29
"5/4/2009",51.71
"5/11/2009",-46.35
"5/18/2009",4.12
"5/26/2009",32.14
"6/1/2009",20.95
"6/8/2009",6.12
"6/15/2009",-24.98
"6/22/2009",-2.33
"6/29/2009",-22.48
"7/6/2009",-17.29
"7/13/2009",61.25
"7/20/2009",38.88
"7/27/2009",8.22
"8/3/2009",23
"8/10/2009",-6.39
"8/17/2009",22.04
"8/24/2009",2.8
"8/31/2009",-12.53
"9/8/2009",26.33
"9/14/2009",25.57
"9/21/2009",-23.92
"9/28/2009",-19.17
"10/5/2009",46.28
"10/12/2009",16.19
"10/19/2009",-8.08
"10/26/2009",-43.41
"11/2/2009",33.11
"11/9/2009",24.18
"11/16/2009",-2.1
"11/23/2009",0.11
"11/30/2009",14.49
"12/7/2009",0.43
"12/14/2009",-3.94
"12/21/2009",24.01
"12/28/2009",-0.06
