"Participant","Gender","Rating"
1,"F",1
2,"F",1
3,"F",1
4,"F",1
5,"F",1
6,"F",2
7,"F",2
8,"F",2
9,"F",2
10,"F",2
11,"F",2
12,"F",2
13,"F",2
14,"F",2
15,"F",2
16,"F",2
17,"F",2
18,"F",2
19,"F",2
20,"F",2
21,"F",2
22,"F",2
23,"F",2
24,"F",2
25,"F",2
26,"F",2
27,"F",2
28,"F",2
29,"F",2
30,"F",2
31,"F",2
32,"F",2
33,"F",2
34,"F",2
35,"F",2
36,"F",2
37,"F",2
38,"F",2
39,"F",2
40,"F",2
41,"F",2
42,"F",2
43,"F",2
44,"F",2
45,"F",2
46,"F",2
47,"F",2
48,"F",2
49,"F",2
50,"F",3
51,"F",3
52,"F",3
53,"F",3
54,"F",3
55,"F",3
56,"F",3
57,"F",3
58,"F",3
59,"F",3
60,"F",3
61,"F",3
62,"F",3
63,"F",3
64,"F",3
65,"F",3
66,"F",3
67,"F",3
68,"F",3
69,"F",3
70,"F",3
71,"F",3
72,"F",3
73,"F",3
74,"F",3
75,"F",3
76,"F",3
77,"F",3
78,"F",3
79,"F",3
80,"F",3
81,"F",3
82,"F",3
83,"F",3
84,"F",3
85,"F",3
86,"F",3
87,"F",3
88,"F",3
89,"F",3
90,"F",3
91,"F",3
92,"F",3
93,"F",3
94,"F",3
95,"F",3
96,"F",3
97,"F",3
98,"F",4
99,"F",4
100,"F",4
101,"F",4
102,"F",4
103,"F",4
104,"F",4
105,"F",4
106,"F",4
107,"F",4
108,"F",4
109,"F",4
110,"F",4
111,"F",4
112,"F",4
113,"F",4
114,"F",4
115,"F",4
116,"F",4
117,"F",4
118,"F",4
119,"F",4
120,"F",4
121,"F",4
122,"F",4
123,"F",4
124,"F",4
125,"F",4
126,"F",4
127,"F",4
128,"F",4
129,"F",4
130,"F",4
131,"F",4
132,"F",4
133,"F",4
134,"F",4
135,"F",4
136,"F",4
137,"F",4
138,"F",4
139,"F",4
140,"F",4
141,"F",4
142,"F",4
143,"F",4
144,"F",4
145,"F",4
146,"F",4
147,"F",4
148,"F",4
149,"F",4
150,"F",4
151,"F",4
152,"F",4
153,"F",4
154,"F",4
155,"F",4
156,"F",4
157,"F",4
158,"F",4
159,"F",4
160,"F",4
161,"F",4
162,"F",4
163,"F",4
164,"F",4
165,"F",4
166,"F",4
167,"F",4
168,"F",4
169,"F",4
170,"F",4
171,"F",4
172,"F",4
173,"F",4
174,"F",4
175,"F",4
176,"F",4
177,"F",4
178,"F",4
179,"F",4
180,"F",4
181,"F",4
182,"F",4
183,"F",4
184,"F",4
185,"F",4
186,"F",4
187,"F",4
188,"F",4
189,"F",4
190,"F",4
191,"F",4
192,"F",4
193,"F",4
194,"F",4
195,"F",4
196,"F",4
197,"F",4
198,"F",4
199,"F",4
200,"F",4
201,"F",4
202,"F",4
203,"F",4
204,"F",4
205,"F",4
206,"F",4
207,"F",4
208,"F",4
209,"F",4
210,"F",4
211,"F",4
212,"F",4
213,"F",4
214,"F",4
215,"F",4
216,"F",4
217,"F",4
218,"F",4
219,"F",4
220,"F",4
221,"F",4
222,"F",4
223,"F",4
224,"F",4
225,"F",4
226,"F",4
227,"F",4
228,"F",4
229,"F",4
230,"F",4
231,"F",4
232,"F",4
233,"F",4
234,"F",4
235,"F",4
236,"F",4
237,"F",4
238,"F",4
239,"F",4
240,"F",4
241,"F",4
242,"F",4
243,"F",4
244,"F",4
245,"F",4
246,"F",4
247,"F",4
248,"F",4
249,"F",4
250,"F",4
251,"F",4
252,"F",4
253,"F",4
254,"F",4
255,"F",4
256,"F",4
257,"F",4
258,"F",4
259,"F",4
260,"F",4
261,"F",4
262,"F",4
263,"F",4
264,"F",4
265,"F",4
266,"F",4
267,"F",4
268,"F",4
269,"F",4
270,"F",4
271,"F",4
272,"F",4
273,"F",4
274,"F",4
275,"F",4
276,"F",4
277,"F",4
278,"F",4
279,"F",4
280,"F",4
281,"F",5
282,"F",5
283,"F",5
284,"F",5
285,"F",5
286,"F",5
287,"F",5
288,"F",5
289,"F",5
290,"F",5
291,"F",5
292,"F",5
293,"F",5
294,"F",5
295,"F",5
296,"F",5
297,"F",5
298,"F",5
299,"F",5
300,"F",5
301,"F",5
302,"F",5
303,"F",5
304,"F",5
305,"F",5
306,"F",5
307,"F",5
308,"F",5
309,"F",5
310,"F",5
311,"F",5
312,"F",5
313,"F",5
314,"F",5
315,"F",5
316,"F",5
317,"F",5
318,"F",5
319,"F",5
320,"F",5
321,"F",5
322,"F",5
323,"F",5
324,"F",5
325,"F",5
326,"F",5
327,"F",5
328,"F",5
329,"F",5
330,"F",5
331,"F",5
332,"F",5
333,"F",5
334,"F",5
335,"F",5
336,"F",5
337,"F",5
338,"F",5
339,"F",5
340,"F",5
341,"F",5
342,"F",5
343,"F",5
344,"F",5
345,"F",5
346,"F",5
347,"F",5
348,"F",5
349,"F",5
350,"F",5
351,"F",5
352,"F",5
353,"F",5
354,"F",5
355,"F",5
356,"F",5
357,"F",5
358,"F",5
359,"F",5
360,"F",5
361,"F",5
362,"F",5
363,"F",5
364,"F",5
365,"F",5
366,"F",5
367,"F",5
368,"F",5
369,"F",5
370,"F",5
371,"F",5
372,"F",5
373,"F",5
374,"F",5
375,"F",5
376,"F",5
377,"F",5
378,"F",5
379,"F",5
380,"F",5
381,"F",5
382,"F",5
383,"F",5
384,"F",5
385,"F",5
386,"F",5
387,"F",5
388,"F",5
389,"F",5
390,"F",5
391,"F",5
392,"F",5
393,"F",5
394,"F",5
395,"F",5
396,"F",5
397,"F",5
398,"F",5
399,"F",5
400,"F",5
401,"F",5
402,"F",5
403,"F",5
404,"F",5
405,"F",5
406,"F",5
407,"F",5
408,"F",5
409,"F",5
410,"F",5
411,"F",5
412,"F",5
413,"F",5
414,"F",5
415,"F",5
416,"F",5
417,"F",5
418,"F",5
419,"F",5
420,"F",5
421,"F",5
422,"F",5
423,"F",5
424,"F",5
425,"F",5
426,"F",5
427,"F",5
428,"F",5
429,"F",5
430,"F",5
431,"F",5
432,"F",5
433,"F",5
434,"F",5
435,"F",5
436,"F",5
437,"F",5
438,"F",5
439,"F",5
440,"F",5
441,"F",5
442,"F",5
443,"F",5
444,"F",5
445,"F",5
446,"F",5
447,"F",5
448,"F",5
449,"F",5
450,"F",5
451,"F",5
452,"F",5
453,"F",5
454,"F",5
455,"F",5
456,"F",5
457,"F",5
458,"F",5
459,"F",5
460,"F",5
461,"F",5
462,"F",5
463,"F",5
464,"F",5
465,"F",5
466,"F",5
467,"F",5
468,"F",5
469,"M",1
470,"M",1
471,"M",1
472,"M",1
473,"M",1
474,"M",2
475,"M",2
476,"M",2
477,"M",2
478,"M",2
479,"M",2
480,"M",2
481,"M",2
482,"M",2
483,"M",2
484,"M",2
485,"M",2
486,"M",2
487,"M",2
488,"M",2
489,"M",2
490,"M",2
491,"M",2
492,"M",2
493,"M",2
494,"M",2
495,"M",2
496,"M",2
497,"M",2
498,"M",2
499,"M",2
500,"M",2
501,"M",2
502,"M",2
503,"M",3
504,"M",3
505,"M",3
506,"M",3
507,"M",3
508,"M",3
509,"M",3
510,"M",3
511,"M",3
512,"M",3
513,"M",3
514,"M",3
515,"M",3
516,"M",3
517,"M",3
518,"M",3
519,"M",3
520,"M",3
521,"M",3
522,"M",3
523,"M",3
524,"M",3
525,"M",3
526,"M",3
527,"M",3
528,"M",3
529,"M",3
530,"M",3
531,"M",3
532,"M",3
533,"M",4
534,"M",4
535,"M",4
536,"M",4
537,"M",4
538,"M",4
539,"M",4
540,"M",4
541,"M",4
542,"M",4
543,"M",4
544,"M",4
545,"M",4
546,"M",4
547,"M",4
548,"M",4
549,"M",4
550,"M",4
551,"M",4
552,"M",4
553,"M",4
554,"M",4
555,"M",4
556,"M",4
557,"M",4
558,"M",4
559,"M",4
560,"M",4
561,"M",4
562,"M",4
563,"M",4
564,"M",4
565,"M",4
566,"M",4
567,"M",4
568,"M",4
569,"M",4
570,"M",4
571,"M",4
572,"M",4
573,"M",4
574,"M",4
575,"M",4
576,"M",4
577,"M",4
578,"M",4
579,"M",4
580,"M",4
581,"M",4
582,"M",4
583,"M",4
584,"M",4
585,"M",4
586,"M",4
587,"M",4
588,"M",4
589,"M",4
590,"M",4
591,"M",4
592,"M",4
593,"M",4
594,"M",4
595,"M",4
596,"M",4
597,"M",4
598,"M",4
599,"M",4
600,"M",4
601,"M",4
602,"M",4
603,"M",4
604,"M",4
605,"M",4
606,"M",4
607,"M",4
608,"M",4
609,"M",4
610,"M",4
611,"M",4
612,"M",4
613,"M",4
614,"M",4
615,"M",4
616,"M",4
617,"M",4
618,"M",4
619,"M",4
620,"M",4
621,"M",4
622,"M",4
623,"M",4
624,"M",5
625,"M",5
626,"M",5
627,"M",5
628,"M",5
629,"M",5
630,"M",5
631,"M",5
632,"M",5
633,"M",5
634,"M",5
635,"M",5
636,"M",5
637,"M",5
638,"M",5
639,"M",5
640,"M",5
641,"M",5
642,"M",5
643,"M",5
644,"M",5
645,"M",5
646,"M",5
647,"M",5
648,"M",5
649,"M",5
650,"M",5
651,"M",5
652,"M",5
653,"M",5
654,"M",5
655,"M",5
656,"M",5
657,"M",5
658,"M",5
659,"M",5
660,"M",5
661,"M",5
662,"M",5
663,"M",5
664,"M",5
665,"M",5
666,"M",5
667,"M",5
668,"M",5
669,"M",5
670,"M",5
671,"M",5
672,"M",5
673,"M",5
674,"M",5
675,"M",5
676,"M",5
677,"M",5
678,"M",5
679,"M",5
680,"M",5
681,"M",5
682,"M",5
683,"M",5
684,"M",5
685,"M",5
686,"M",5
687,"M",5
688,"M",5
689,"M",5
