sleep,duke_decision,gpa,homesick,home_dist_mile,home_semester,year,where_from,major,gender,cat_dog,study_abroad,shooters_times,wt_gain_fresh,go_out_times,school_work_hrs,duke_satisfaction,involvement,religion,how_religious,coll_spouse,drink_times,drink_amount,plastic_bag,meaningful_activity,feel_now,clubs,drinks_to_drunk,duke_first_choice,dance_in_shooters_cage,eat_preference,parents_total_edu,siblings,meet_friends,social_life,men_facial_hair,vacation_dest,high_school,cat_love,cofee_tea,abp_times,parent_career,student_gov_hs,coats,tenting,movie,outgoing,play_sports,on_campus_job,abroad_times,weight_ounces,countries,why_stats,sport_events,tv_hrs_basket
7.5,School spirit,3.92,Yes,250,1,Sophomore,US - Northeast,Social science,Male,Dogs,No,0,2,1,3,8,SLG,Christian,9,Yes,2,3,No,Yes,7,5,5,Yes,Yes,The Refectory,38,1,"Club - social (frats, sororities, SLGs, etc.)",Happy,In favor,Mountains,Public,2,Coffee,5,No,No,3,Blue,Comedy,Yes,Yes,Yes,3,2304,4,Want to be,5,4
7,Academics (Duke ranking),3.67,No,1045,1,First-year,US - Midwest,Arts/humanities,Female,Dogs,Yes,2,-5,0,4,8,Independent,Christian- United Methodist,7,No,0,0,No,Yes,6,4,4,Yes,No,The Refectory,9,2,"Club - other (academic, ethnic group, etc.)",Somewhat happy,In favor,Tropical,Public,1,Tea,1,No,No,5,Blue,Action / adventure,Yes,No,Yes,0,2080,0,Have to be,NA,NA
6,Academics (Duke ranking),3.69,No,25,2,Junior,US - South,Social science,Female,Dogs,Yes,0,2,1,4,8,SLG,Judaism,2,No,2,3,No,Yes,7,3,4,No,Yes,The Refectory,38,1,"Club - social (frats, sororities, SLGs, etc.)",Happy,Against,Tropical,Public,1,Coffee,2,No,No,2,No,Comedy,Yes,Yes,No,5,2240,9,Have to be,3,2
8,Academics (Duke ranking),3.5,No,150,2,Junior,US - South,Social science,Male,Dogs,No,1,3,2,3,9,Independent,Jainism,7,No,1,2,Yes,Yes,8,3,6,Yes,No,The Refectory,4,1,"Club - other (academic, ethnic group, etc.)",Somewhat happy,Against,Home,Public,2,Tea,0,No,No,2,White,Comedy,Yes,Yes,No,7,2160,2,Have to be,7,7
8,Sports,3.371,No,440,2,Junior,US - Northeast,Arts/humanities,Female,Cats,Yes,0,20,0,2,9,Greek,Episcopalian ,4,Yes,0,0,No,Yes,9,4,NA,Yes,No,The Loop,34,2,Dorm,Happy,Against,Home,Public,5,Coffee,0,No,No,5,Blue,Action / adventure,No,Yes,Yes,3,2256,6,Have to be,9,6
6,Academics (Duke ranking),3.6,Yes,3,3,Sophomore,US - South,Arts/humanities,Female,Dogs,Yes,12,8,2,4,8,Greek,Christian,10,Yes,3,11,No,Yes,6,1,4,No,Yes,Armadillo Grill,36,1,Dorm,Somewhat happy,Against,Tropical,Public,1,Coffee,4,No,Yes,10,White,Comedy,No,Yes,Yes,0,2000,1,Have to be,20,4
7,Academics (Duke ranking),3.3,No,150,3,Senior,US - South,Natural science,Male,Dogs,No,1,5,3,1,10,Greek,none,1,No,3,4,No,Yes,6,1,5,Yes,No,Great Hall,34,0,"Club - social (frats, sororities, SLGs, etc.)",Happy,Against,Home,Public,3,Tea,3,No,No,3,No,Action / adventure,No,Yes,Yes,3,2560,2,Want to be,0,2
8,Academics (Duke ranking),3.55,Yes,2154,1.5,Senior,US - West,Natural science,Female,Dogs,No,2.5,0,1,6,8,SLG,spiritual/agnostic,6,No,1.5,4,No,Yes,8,4,5.5,No,Yes,The Refectory,20,1,Dorm,Somewhat happy,Against,Home,Public,2,Coffee,4,No,No,7,No,Action / adventure,Yes,No,No,16,1616,9,Want to be,1,2
7,Academics (Duke ranking),4,Yes,9861.05,0.5,First-year,International,Social science,Female,Cats,No,0,3.3,1,5,7,Independent,Christianity,8,No,0,0,No,Yes,7,3,0,Yes,No,Au Bon Pain,34,2,"Club - other (academic, ethnic group, etc.)",Somewhat unhappy,Against,Tropical,Public,3,Tea,2,No,No,2,No,Other,No,No,No,9,1552.05,8,Have to be,2,1
8,School spirit,3.29,No,3884,0.5,Junior,International,Social science,Male,Dogs,No,28,5,3,4,8,Greek,Catholic,3,No,3,8,Yes,Yes,7,3,6,Yes,Yes,The Loop,12,1,"Club - social (frats, sororities, SLGs, etc.)",Happy,In favor,Tropical,Private,2,Coffee,1,Yes,No,4,No,Action / adventure,Yes,Yes,No,NA,2560,50,Have to be,5,5
