"Date","Volume"
"1/2/2009",21879800
"1/5/2009",32414700
"1/6/2009",28746100
"1/7/2009",30532700
"1/8/2009",21431200
"1/9/2009",30941600
"1/12/2009",34301100
"1/13/2009",31596000
"1/14/2009",35365400
"1/15/2009",43214400
"1/16/2009",33338600
"1/20/2009",34309600
"1/21/2009",38034600
"1/22/2009",30169400
"1/23/2009",34115600
"1/26/2009",36092300
"1/27/2009",34692600
"1/28/2009",56239500
"1/29/2009",44475100
"1/30/2009",38075300
"2/2/2009",27045300
"2/3/2009",31427100
"2/4/2009",35628200
"2/5/2009",29736300
"2/6/2009",30843100
"2/9/2009",22255100
"2/10/2009",38130200
"2/11/2009",26144000
"2/12/2009",40520300
"2/13/2009",23517600
"2/17/2009",38112000
"2/18/2009",28523800
"2/19/2009",28024600
"2/20/2009",39915900
"2/23/2009",36406000
"2/24/2009",39478800
"2/25/2009",61244800
"2/26/2009",41741600
"2/27/2009",37716700
"3/2/2009",43542100
"3/3/2009",48163400
"3/4/2009",37300600
"3/5/2009",48618600
"3/6/2009",47881200
"3/9/2009",38643300
"3/10/2009",44400200
"3/11/2009",33882600
"3/12/2009",39954500
"3/13/2009",27803200
"3/16/2009",29189500
"3/17/2009",37695200
"3/18/2009",37357300
"3/19/2009",32987500
"3/20/2009",46474300
"3/23/2009",43655000
"3/24/2009",27414200
"3/25/2009",39049300
"3/26/2009",35361500
"3/27/2009",22141400
"3/30/2009",30121300
"3/31/2009",36229800
"4/1/2009",28587200
"4/2/2009",34390700
"4/3/2009",25397200
"4/6/2009",26659400
"4/7/2009",25641400
"4/8/2009",24619300
"4/9/2009",28114700
"4/13/2009",20062700
"4/14/2009",28959500
"4/15/2009",26884500
"4/16/2009",32196800
"4/17/2009",38768500
"4/20/2009",27395300
"4/21/2009",31561600
"4/22/2009",50205600
"4/23/2009",31435600
"4/24/2009",28151000
"4/27/2009",27429900
"4/28/2009",26093400
"4/29/2009",33417200
"4/30/2009",32452800
"5/1/2009",22080500
"5/4/2009",27262100
"5/5/2009",19289800
"5/6/2009",24744600
"5/7/2009",53202900
"5/8/2009",41608900
"5/11/2009",25613100
"5/12/2009",23279000
