"Year","Month","Cars"
2002,"Jan",154368
2002,"Feb",147552
2002,"Mar",147835
2002,"Apr",129541
2002,"May",159959
2002,"Jun",112752
2002,"Jul",134549
2002,"Aug",112800
2002,"Sep",144498
2002,"Oct",149654
2002,"Nov",138769
2002,"Dec",97467
2003,"Jan",136101
2003,"Feb",136346
2003,"Mar",151878
2003,"Apr",144816
2003,"May",133067
2003,"Jun",155397
2003,"Jul",146292
2003,"Aug",91376
2003,"Sep",153545
2003,"Oct",153370
2003,"Nov",142926
2003,"Dec",112444
2004,"Jan",141320
2004,"Feb",141095
2004,"Mar",163043
2004,"Apr",129616
2004,"May",143135
2004,"Jun",155451
2004,"Jul",140497
2004,"Aug",83239
2004,"Sep",155312
2004,"Oct",135105
2004,"Nov",149280
2004,"Dec",109657
2005,"Jan",136033
2005,"Feb",143470
2005,"Mar",153293
2005,"Apr",139787
2005,"May",131958
2005,"Jun",144252
2005,"Jul",130220
2005,"Aug",97076
2005,"Sep",149880
2005,"Oct",124783
2005,"Nov",149662
2005,"Dec",95283
2006,"Jan",119122
2006,"Feb",131193
2006,"Mar",158988
2006,"Apr",118572
2006,"May",132316
2006,"Jun",139326
2006,"Jul",117829
2006,"Aug",72959
2006,"Sep",122312
2006,"Oct",116143
2006,"Nov",128563
2006,"Dec",84762
2007,"Jan",124197
2007,"Feb",115649
2007,"Mar",138009
2007,"Apr",120440
2007,"May",127383
2007,"Jun",137529
2007,"Jul",129688
