"Year","State","unemp_rate","state"
"1981","Alabama",9.84166666666667,"AL"
"1982","Alabama",13.075,"AL"
"1983","Alabama",12.8083333333333,"AL"
"1984","Alabama",10.3666666666667,"AL"
"1985","Alabama",8.65,"AL"
"1986","Alabama",9.04166666666667,"AL"
"1987","Alabama",7.65,"AL"
"1988","Alabama",6.875,"AL"
"1989","Alabama",6.64166666666667,"AL"
"1990","Alabama",6.36666666666667,"AL"
"1991","Alabama",6.75,"AL"
"1992","Alabama",6.875,"AL"
"1993","Alabama",6.59166666666667,"AL"
"1994","Alabama",5.375,"AL"
"1995","Alabama",5.14166666666667,"AL"
"1996","Alabama",4.45833333333333,"AL"
"1997","Alabama",4.35,"AL"
"1998","Alabama",3.85,"AL"
"1999","Alabama",4.18333333333333,"AL"
"2000","Alabama",4.00833333333333,"AL"
"2001","Alabama",4.59166666666667,"AL"
"2002","Alabama",5.30833333333333,"AL"
"2003","Alabama",5.375,"AL"
"2004","Alabama",5.01666666666667,"AL"
"2005","Alabama",3.81666666666667,"AL"
"2006","Alabama",3.45833333333333,"AL"
"2007","Alabama",3.4,"AL"
"2008","Alabama",5.05833333333333,"AL"
"2009","Alabama",9.9,"AL"
"2010","Alabama",9.49166666666667,"AL"
"2011","Alabama",8.96666666666667,"AL"
"2012","Alabama",7.73333333333333,"AL"
"1981","Alaska",9.06666666666667,"AK"
"1982","Alaska",9.80833333333333,"AK"
"1983","Alaska",10.025,"AK"
"1984","Alaska",9.80833333333333,"AK"
"1985","Alaska",9.58333333333333,"AK"
"1986","Alaska",11.025,"AK"
"1987","Alaska",10.1416666666667,"AK"
"1988","Alaska",8.69166666666667,"AK"
"1989","Alaska",6.925,"AK"
"1990","Alaska",7.05833333333333,"AK"
"1991","Alaska",8.25833333333333,"AK"
"1992","Alaska",8.9,"AK"
"1993","Alaska",7.7,"AK"
"1994","Alaska",7.48333333333333,"AK"
"1995","Alaska",7.13333333333333,"AK"
"1996","Alaska",7.45,"AK"
"1997","Alaska",7.025,"AK"
"1998","Alaska",6.13333333333333,"AK"
"1999","Alaska",6.16666666666667,"AK"
"2000","Alaska",6.15833333333333,"AK"
"2001","Alaska",6.14166666666667,"AK"
"2002","Alaska",7.075,"AK"
"2003","Alaska",7.675,"AK"
"2004","Alaska",7.38333333333333,"AK"
"2005","Alaska",6.88333333333333,"AK"
"2006","Alaska",6.525,"AK"
"2007","Alaska",6.08333333333333,"AK"
"2008","Alaska",6.44166666666667,"AK"
"2009","Alaska",7.74166666666667,"AK"
"2010","Alaska",7.94166666666667,"AK"
"2011","Alaska",7.56666666666667,"AK"
"2012","Alaska",7.125,"AK"
"1981","Arizona",6.2,"AZ"
"1982","Arizona",9.94166666666667,"AZ"
"1983","Arizona",9.21666666666667,"AZ"
"1984","Arizona",4.95,"AZ"
"1985","Arizona",6.25,"AZ"
"1986","Arizona",6.96666666666667,"AZ"
"1987","Arizona",6.425,"AZ"
"1988","Arizona",6.31666666666667,"AZ"
"1989","Arizona",5.26666666666667,"AZ"
"1990","Arizona",5.23333333333333,"AZ"
"1991","Arizona",5.85833333333333,"AZ"
"1992","Arizona",7.36666666666667,"AZ"
"1993","Arizona",6.30833333333333,"AZ"
"1994","Arizona",6.08333333333333,"AZ"
"1995","Arizona",5.39166666666667,"AZ"
"1996","Arizona",5.475,"AZ"
"1997","Arizona",4.61666666666667,"AZ"
"1998","Arizona",4.29166666666667,"AZ"
"1999","Arizona",4.46666666666667,"AZ"
"2000","Arizona",4.05833333333333,"AZ"
"2001","Arizona",4.70833333333333,"AZ"
"2002","Arizona",6.00833333333333,"AZ"
"2003","Arizona",5.74166666666667,"AZ"
"2004","Arizona",4.98333333333333,"AZ"
"2005","Arizona",4.675,"AZ"
"2006","Arizona",4.125,"AZ"
"2007","Arizona",3.7,"AZ"
"2008","Arizona",5.95,"AZ"
"2009","Arizona",9.89166666666667,"AZ"
"2010","Arizona",10.4833333333333,"AZ"
"2011","Arizona",9.48333333333333,"AZ"
"2012","Arizona",8.26666666666667,"AZ"
"1981","Arkansas",8.51666666666667,"AR"
"1982","Arkansas",9.33333333333333,"AR"
"1983","Arkansas",9.775,"AR"
"1984","Arkansas",8.33333333333333,"AR"
"1985","Arkansas",8.53333333333333,"AR"
"1986","Arkansas",8.45833333333333,"AR"
"1987","Arkansas",8.11666666666667,"AR"
"1988","Arkansas",7.65,"AR"
"1989","Arkansas",7.00833333333333,"AR"
"1990","Arkansas",6.78333333333333,"AR"
"1991","Arkansas",7.225,"AR"
"1992","Arkansas",7.10833333333333,"AR"
"1993","Arkansas",6.13333333333333,"AR"
"1994","Arkansas",5.33333333333333,"AR"
"1995","Arkansas",4.8,"AR"
"1996","Arkansas",5.10833333333333,"AR"
"1997","Arkansas",5.08333333333333,"AR"
"1998","Arkansas",5,"AR"
"1999","Arkansas",4.46666666666667,"AR"
"2000","Arkansas",4.16666666666667,"AR"
"2001","Arkansas",4.69166666666667,"AR"
"2002","Arkansas",5.325,"AR"
"2003","Arkansas",5.83333333333333,"AR"
"2004","Arkansas",5.625,"AR"
"2005","Arkansas",5.11666666666667,"AR"
"2006","Arkansas",5.26666666666667,"AR"
"2007","Arkansas",5.31666666666667,"AR"
"2008","Arkansas",5.40833333333333,"AR"
"2009","Arkansas",7.51666666666667,"AR"
"2010","Arkansas",7.925,"AR"
"2011","Arkansas",8.03333333333333,"AR"
"2012","Arkansas",7.275,"AR"
"1981","California",7.41666666666667,"CA"
"1982","California",10.0166666666667,"CA"
"1983","California",9.875,"CA"
"1984","California",7.78333333333333,"CA"
"1985","California",7.175,"CA"
"1986","California",6.76666666666667,"CA"
"1987","California",5.825,"CA"
"1988","California",5.26666666666667,"CA"
"1989","California",5.13333333333333,"CA"
"1990","California",5.75833333333333,"CA"
"1991","California",7.78333333333333,"CA"
"1992","California",9.36666666666667,"CA"
"1993","California",9.56666666666667,"CA"
"1994","California",8.60833333333333,"CA"
"1995","California",7.875,"CA"
"1996","California",7.325,"CA"
"1997","California",6.40833333333333,"CA"
"1998","California",5.95833333333333,"CA"
"1999","California",5.25833333333333,"CA"
"2000","California",4.95,"CA"
"2001","California",5.425,"CA"
"2002","California",6.69166666666667,"CA"
"2003","California",6.86666666666667,"CA"
"2004","California",6.225,"CA"
"2005","California",5.41666666666667,"CA"
"2006","California",4.89166666666667,"CA"
"2007","California",5.35,"CA"
"2008","California",7.24166666666667,"CA"
"2009","California",11.3416666666667,"CA"
"2010","California",12.3416666666667,"CA"
"2011","California",11.7583333333333,"CA"
"2012","California",10.5333333333333,"CA"
"1981","Colorado",5.575,"CO"
"1982","Colorado",7.575,"CO"
"1983","Colorado",7.15,"CO"
"1984","Colorado",5.45833333333333,"CO"
"1985","Colorado",6.00833333333333,"CO"
"1986","Colorado",7.48333333333333,"CO"
"1987","Colorado",7.375,"CO"
"1988","Colorado",6.43333333333333,"CO"
"1989","Colorado",5.625,"CO"
"1990","Colorado",5.19166666666667,"CO"
"1991","Colorado",5.375,"CO"
"1992","Colorado",6.03333333333333,"CO"
"1993","Colorado",5.325,"CO"
"1994","Colorado",4.2,"CO"
"1995","Colorado",4.04166666666667,"CO"
"1996","Colorado",4.175,"CO"
"1997","Colorado",3.36666666666667,"CO"
"1998","Colorado",3.6,"CO"
"1999","Colorado",3.08333333333333,"CO"
"2000","Colorado",2.775,"CO"
"2001","Colorado",3.81666666666667,"CO"
"2002","Colorado",5.625,"CO"
"2003","Colorado",6.09166666666667,"CO"
"2004","Colorado",5.59166666666667,"CO"
"2005","Colorado",5.125,"CO"
"2006","Colorado",4.3,"CO"
"2007","Colorado",3.79166666666667,"CO"
"2008","Colorado",4.83333333333333,"CO"
"2009","Colorado",8.11666666666667,"CO"
"2010","Colorado",8.925,"CO"
"2011","Colorado",8.325,"CO"
"2012","Colorado",7.94166666666667,"CO"
"1981","Connecticut",6.05833333333333,"CT"
"1982","Connecticut",6.85,"CT"
"1983","Connecticut",5.89166666666667,"CT"
"1984","Connecticut",4.56666666666667,"CT"
"1985","Connecticut",4.60833333333333,"CT"
"1986","Connecticut",3.79166666666667,"CT"
"1987","Connecticut",3.25,"CT"
"1988","Connecticut",2.89166666666667,"CT"
"1989","Connecticut",3.64166666666667,"CT"
"1990","Connecticut",4.94166666666667,"CT"
"1991","Connecticut",6.43333333333333,"CT"
"1992","Connecticut",7.26666666666667,"CT"
"1993","Connecticut",6.35,"CT"
"1994","Connecticut",5.41666666666667,"CT"
"1995","Connecticut",5.225,"CT"
"1996","Connecticut",5.325,"CT"
"1997","Connecticut",4.84166666666667,"CT"
"1998","Connecticut",3.275,"CT"
"1999","Connecticut",2.625,"CT"
"2000","Connecticut",2.26666666666667,"CT"
"2001","Connecticut",3.1,"CT"
"2002","Connecticut",4.375,"CT"
"2003","Connecticut",5.45833333333333,"CT"
"2004","Connecticut",4.93333333333333,"CT"
"2005","Connecticut",4.86666666666667,"CT"
"2006","Connecticut",4.43333333333333,"CT"
"2007","Connecticut",4.575,"CT"
"2008","Connecticut",5.64166666666667,"CT"
"2009","Connecticut",8.20833333333333,"CT"
"2010","Connecticut",9.29166666666667,"CT"
"2011","Connecticut",8.8,"CT"
"2012","Connecticut",8.33333333333333,"CT"
"1981","Delaware",7.875,"DE"
"1982","Delaware",8.24166666666667,"DE"
"1983","Delaware",7.49166666666667,"DE"
"1984","Delaware",5.94166666666667,"DE"
"1985","Delaware",4.95833333333333,"DE"
"1986","Delaware",4.36666666666667,"DE"
"1987","Delaware",3.06666666666667,"DE"
"1988","Delaware",3.01666666666667,"DE"
"1989","Delaware",3.15833333333333,"DE"
"1990","Delaware",4.175,"DE"
"1991","Delaware",5.83333333333333,"DE"
"1992","Delaware",5.45,"DE"
