"State","Rate"
"Alabama",4.9
"Alaska",6.9
"Arizona",5.6
"Arkansas",4.8
"California",7.7
"Colorado",5.4
"Connecticut",6.5
"Delaware",4.9
"Florida",6.5
"Georgia",6.3
"Hawaii",4.2
"Idaho",4.6
"Illinois",7.3
"Indiana",6.4
"Iowa",4.6
"Kansas",4.7
"Kentucky",6.8
"Louisiana",4.7
"Maine",5.5
"Maryland",4.5
"Massachusetts",5.3
"Michigan",8.9
"Minnesota",6.2
"Mississippi",7.7
"Missouri",6.6
"Montana",4.4
"Nebraska",3.5
"Nevada",7.1
"New Hampshire",4.2
"New Jersey",5.9
"New Mexico",4.6
"New York",5.8
"North Carolina",6.9
"North Dakota",3.6
"Ohio",7.4
"Oklahoma",4
"Oregon",6.5
"Pennsylvania",5.8
"Rhode Island",8.5
"South Carolina",7.6
"South Dakota",3.3
"Tennessee",6.6
"Texas",5
"Utah",3.7
"Vermont",4.9
"Virginia",4.6
"Washington",6
"West Virginia",4.1
"Wisconsin",5.1
"Wyoming",3.9
