"Month","Retail.Sales"
"01/2000",25964
"02/2000",27179
"03/2000",31187
"04/2000",31186
"05/2000",32986
"06/2000",32530
"07/2000",31543
"08/2000",33288
"09/2000",31130
"10/2000",32670
"11/2000",39620
"12/2000",55061
"01/2001",28624
"02/2001",28508
"03/2001",32270
"04/2001",33382
"05/2001",35004
"06/2001",34212
"07/2001",33199
"08/2001",35979
"09/2001",32369
"10/2001",34589
"11/2001",42023
"12/2001",57427
"01/2002",30074
"02/2002",30888
"03/2002",35953
"04/2002",34295
"05/2002",37350
"06/2002",36285
"07/2002",34763
"08/2002",37493
"09/2002",33129
"10/2002",36330
"11/2002",42506
"12/2002",57582
"01/2003",31551
"02/2003",32243
"03/2003",36248
"04/2003",36036
"05/2003",38845
"06/2003",37293
"07/2003",37202
"08/2003",40204
"09/2003",35278
"10/2003",38673
"11/2003",44743
"12/2003",60418
"01/2004",34375
"02/2004",35932
"03/2004",38292
"04/2004",38909
"05/2004",41352
"06/2004",38953
"07/2004",39639
"08/2004",40222
"09/2004",37560
"10/2004",41136
"11/2004",46295
"12/2004",64509
"01/2005",36093
"02/2005",36968
"03/2005",41005
"04/2005",40781
"05/2005",42673
"06/2005",42657
"07/2005",42041
"08/2005",42783
"09/2005",40010
"10/2005",43835
"11/2005",49440
"12/2005",66962
"01/2006",38447
"02/2006",39346
"03/2006",43068
"04/2006",44045
"05/2006",45206
"06/2006",44566
"07/2006",43752
"08/2006",45009
"09/2006",42448
"10/2006",44568
"11/2006",51751
"12/2006",69903
"01/2007",40771
"02/2007",40818
"03/2007",46215
"04/2007",44836
"05/2007",47678
"06/2007",46908
"07/2007",45636
"08/2007",48156
"09/2007",43796
"10/2007",46110
"11/2007",54156
"12/2007",71346
"01/2008",42052
"02/2008",44205
"03/2008",47929
"04/2008",45576
"05/2008",51427
"06/2008",49273
"07/2008",48567
"08/2008",50333
