"Date","Non.US","US"
"Dec05",284433,838170
"Jan06",201322,555251
"Feb06",202821,632247
"Mar06",230650,722306
"Apr06",272010,826192
"May06",401001,1134966
"Jun06",515688,1700313
"Jul06",648231,2262860
"Aug06",593677,2083148
"Sep06",521144,1353543
"Oct06",332176,917616
"Nov06",192756,676650
"Dec06",295823,846551
"Jan07",199789,523392
"Feb07",218467,586809
"Mar07",252823,672289
"Apr07",267250,733374
"May07",405069,1129162
"Jun07",544496,1724569
"Jul07",675979,2135618
"Aug07",606261,2151443
"Sep07",534486,1336420
"Oct07",335863,940680
"Nov07",205887,673914
"Dec07",309112,772210
"Jan08",214619,503348
"Feb08",225820,573116
"Mar08",252835,652445
"Apr08",270234,679726
"May08",441557,1095988
"Jun08",559491,1510394
"Jul08",695452,2006016
"Aug08",628547,2036707
"Sep08",537075,1123444
"",NA,NA
