"Year","Quarter","Sales"
2000,1,4823.2
2000,2,5608.8
2000,3,5394.1
2000,4,5380.8
2001,1,5614.2
2001,2,6429
2001,3,6296.2
2001,4,6283.6
2002,1,6559.4
2002,2,7488.5
2002,3,7397.9
2002,4,7235.3
2003,1,7484.9
2003,2,8446.1
2003,3,8328
2003,4,8246.4
2004,1,8720.8
2004,2,9782.2
2004,3,9578.5
2004,4,9426.7
2005,1,9889.1
2005,2,10987
2005,3,10830.6
2005,4,10494.9
2006,1,10900.4
2006,2,12163.1
2006,3,12175.2
2006,4,12170.3
2007,1,12708.5
2007,2,13933.7
2007,3,13698.3
2007,4,13421.5
2008,1,14028
2008,2,15394
2008,3,15015
2008,4,14597
2009,1,14947
