"Date","Price","Price.Change"
"1/2/2008",46.3,NA
"1/3/2008",45.78,-0.52
"1/4/2008",45.13,-0.65
"1/7/2008",45.96,0.83
"1/8/2008",45.38,-0.58
"1/9/2008",46.3,0.92
"1/10/2008",47.78,1.48
"1/11/2008",47.1,-0.68
"1/14/2008",47.06,-0.04
"1/15/2008",46.38,-0.68
"1/16/2008",46.88,0.5
"1/17/2008",46.87,-0.01
"1/18/2008",46.97,0.1
"1/22/2008",48.57,1.6
"1/23/2008",49.51,0.94
"1/24/2008",48.28,-1.23
"1/25/2008",47.47,-0.81
"1/28/2008",48.08,0.61
"1/29/2008",48.38,0.3
"1/30/2008",48.53,0.15
"1/31/2008",50.09,1.56
"2/1/2008",50.52,0.43
"2/4/2008",49.42,-1.1
"2/5/2008",48.92,-0.5
"2/6/2008",48.2,-0.72
"2/7/2008",49.2,1
"2/8/2008",48.13,-1.07
"2/11/2008",48.96,0.83
"2/12/2008",49.6,0.64
"2/13/2008",50.01,0.41
"2/14/2008",49.33,-0.68
"2/15/2008",48.8,-0.53
"2/19/2008",49.02,0.22
"2/20/2008",49.06,0.04
"2/21/2008",49.15,0.09
"2/22/2008",49.33,0.18
"2/25/2008",49.68,0.35
"2/26/2008",50.74,1.06
"2/27/2008",50.77,0.03
"2/28/2008",50.05,-0.72
"2/29/2008",48.95,-1.1
"3/3/2008",49.25,0.3
"3/4/2008",49.23,-0.02
"3/5/2008",48.91,-0.32
"3/6/2008",49.34,0.43
"3/7/2008",49.26,-0.08
"3/10/2008",48.22,-1.04
"3/11/2008",49.6,1.38
"3/12/2008",49.88,0.28
"3/13/2008",50.19,0.31
"3/14/2008",49.41,-0.78
"3/17/2008",49.54,0.13
"3/18/2008",50.56,1.02
"3/19/2008",50.36,-0.2
"3/20/2008",52.79,2.43
"3/24/2008",53.19,0.4
"3/25/2008",52.61,-0.58
"3/26/2008",52.47,-0.14
"3/27/2008",51.94,-0.53
"3/28/2008",51.69,-0.25
"3/31/2008",52.25,0.56
"4/1/2008",53.64,1.39
"4/2/2008",54.01,0.37
"4/3/2008",54.48,0.47
"4/4/2008",53.95,-0.53
"4/7/2008",53.79,-0.16
"4/8/2008",54,0.21
"4/9/2008",53.7,-0.3
"4/10/2008",54.21,0.51
"4/11/2008",54.35,0.14
"4/14/2008",54.7,0.35
"4/15/2008",55.81,1.11
"4/16/2008",56.6,0.79
"4/17/2008",56.21,-0.39
"4/18/2008",55.85,-0.36
"4/21/2008",55.92,0.07
"4/22/2008",56.09,0.17
"4/23/2008",56.45,0.36
"4/24/2008",56.98,0.53
"4/25/2008",57.18,0.2
"4/28/2008",56.88,-0.3
"4/29/2008",58.13,1.25
"4/30/2008",57.5,-0.63
"5/1/2008",57.59,0.09
"5/2/2008",57.03,-0.56
"5/5/2008",56.5,-0.53
"5/6/2008",55.89,-0.61
"5/7/2008",56.36,0.47
"5/8/2008",56.69,0.33
"5/9/2008",56.71,0.02
"5/12/2008",57.54,0.83
"5/13/2008",56.19,-1.35
"5/14/2008",57.22,1.03
"5/15/2008",56.89,-0.33
"5/16/2008",56.81,-0.08
"5/19/2008",56.17,-0.64
"5/20/2008",55.73,-0.44
"5/21/2008",55.01,-0.72
"5/22/2008",55.82,0.81
"5/23/2008",55.53,-0.29
"5/27/2008",56.17,0.64
"5/28/2008",56.86,0.69
"5/29/2008",57.71,0.85
"5/30/2008",57.51,-0.2
"6/2/2008",56.97,-0.54
"6/3/2008",57.54,0.57
"6/4/2008",57.45,-0.09
"6/5/2008",59.56,2.11
"6/6/2008",58.14,-1.42
"6/9/2008",59.33,1.19
"6/10/2008",59.54,0.21
"6/11/2008",58.28,-1.26
"6/12/2008",58.87,0.59
"6/13/2008",58.94,0.07
"6/16/2008",59.07,0.13
"6/17/2008",58.45,-0.62
"6/18/2008",57.44,-1.01
"6/19/2008",57.46,0.02
"6/20/2008",56.03,-1.43
"6/23/2008",56.41,0.38
"6/24/2008",57.09,0.68
"6/25/2008",57.89,0.8
"6/26/2008",56.6,-1.29
"6/27/2008",56.07,-0.53
"6/30/2008",55.97,-0.1
"7/1/2008",56.8,0.83
"7/2/2008",56.27,-0.53
"7/3/2008",56.37,0.1
"7/7/2008",56.68,0.31
"7/8/2008",58.87,2.19
"7/9/2008",57.44,-1.43
"7/10/2008",56.98,-0.46
"7/11/2008",56.06,-0.92
"7/14/2008",56.08,0.02
"7/15/2008",56.01,-0.07
"7/16/2008",56.73,0.72
"7/17/2008",57.45,0.72
"7/18/2008",57.69,0.24
"7/21/2008",57.08,-0.61
"7/22/2008",58.82,1.74
"7/23/2008",57.86,-0.96
"7/24/2008",56.74,-1.12
"7/25/2008",56.6,-0.14
"7/28/2008",55.79,-0.81
"7/29/2008",57.22,1.43
"7/30/2008",58.32,1.1
"7/31/2008",58.38,0.06
